seconds,mean_intensity
-20,6.862
-10,5.899
0,1.891
10,2.355
20,2.326
30,2.768
40,3.551
50,3.072
60,3.203
70,3.239
80,3.746
90,3.188
100,3.848
110,3.442
120,5.087
130,3.906
140,4.594
150,5.007
160,4.964
170,4.442
180,5.384
190,4.877
200,4.232
210,4.797
220,5.522
230,5.348
240,5.014
250,5.312
260,4.674
270,4.123
280,4.087
290,4.768
300,6.551
310,6.159
320,4.928
330,4.652
340,5.109
350,4.558
360,3.986
370,4.739
380,4.304
390,4.877
400,5.246
410,4.594
420,4
430,5.21
440,5.536
450,4.645
460,4.493
470,4.384
