seconds,mean_intensity
-20,6.439
-10,6.098
0,2.492
10,3.261
20,3.731
30,3.886
40,4.417
50,4.932
60,4.682
70,4.985
80,4.648
90,4.318
100,4.898
110,4.811
120,4.769
130,4.64
140,5.33
150,4.856
160,4.462
170,5.261
180,5.496
190,5.561
200,5.61
210,4.447
220,4.871
230,3.977
240,4.678
250,4.015
260,4.777
270,4.72
280,5.136
290,4.481
300,5.144
310,4.394
320,4.489
330,4.519
340,3.936
350,4.727
360,5.019
370,4.739
380,4.379
390,4.561
400,4.519
410,4.197
420,4.303
430,3.958
440,3.894
450,4.015
460,3.674
470,3.746
