seconds,mean_intensity
-20,5.698
-10,5.477
0,5.537
10,5.06
20,5.175
30,5.333
40,5.333
50,5.216
60,4.776
70,5.394
80,4.876
90,5.687
100,5.175
110,4.652
120,5.256
130,4.888
140,4.434
150,4.793
160,4.345
170,4.626
180,4.244
190,4.098
200,4.187
210,3.833
220,3.514
230,4.144
240,3.848
250,4.187
260,3.845
270,4.055
280,3.862
290,4.391
300,4.486
310,4.086
320,4.098
330,4.302
340,4.411
350,4.641
360,4.055
370,4.144
380,4.503
390,4.011
400,4.443
410,3.899
420,3.741
430,3.744
440,4.362
450,3.718
460,3.885
470,4.296
