seconds,mean_intensity
-20,7.82
-10,7.897
0,7.391
10,6.541
20,5.82
30,5.627
40,7.172
50,6.026
60,5.931
70,6.172
80,6.421
90,6.004
100,6.197
110,5.893
120,6.815
130,6.399
140,7.266
150,7.013
160,6.957
170,7.373
180,6.197
190,7.627
200,5.798
210,6.021
220,6.416
230,5.193
240,5.391
250,5.112
260,4.721
270,5.026
280,4.841
290,5.305
300,5.391
310,5.803
320,5.549
330,5.584
340,4.734
350,4.305
360,3.798
370,4.747
380,4.313
390,4.936
400,4.906
410,4.116
420,4.395
430,3.528
440,3.79
450,3.742
460,3.768
470,4.21
