seconds,mean_intensity
-20,6.782
-10,6.953
0,3.591
10,3.626
20,4.467
30,3.973
40,4.257
50,4.447
60,4.961
70,5.268
80,4.626
90,4.42
100,4.864
110,4.739
120,4.459
130,4.681
140,4.961
150,4.953
160,4.747
170,4.809
180,4.611
190,4.518
200,4.72
210,4.409
220,4.175
230,3.981
240,4.051
250,3.864
260,3.996
270,4.455
280,5.054
290,4.728
300,4.755
310,4.79
320,4.677
330,3.805
340,4.969
350,4.84
360,4.49
370,4.7
380,4.311
390,3.887
400,3.802
410,4.019
420,4.035
430,4.58
440,5.712
450,5.51
460,4.451
470,4.7
