seconds,mean_intensity
-20,8.075
-10,8.477
0,2.201
10,3.178
20,3.207
30,3.236
40,3.609
50,3.557
60,3.454
70,4.121
80,4.448
90,5.644
100,5.052
110,5.144
120,4.747
130,3.828
140,5.299
150,5.075
160,6.109
170,5.701
180,6.609
190,7.011
200,5.707
210,5.695
220,4.966
230,4.885
240,4.718
250,5.356
260,4.621
270,5.443
280,4.511
290,4.925
300,5.466
310,4.218
320,5.144
330,4.609
340,4.397
350,4.046
360,3.471
370,3.862
380,4.149
390,4.351
400,4.408
410,3.517
420,3.96
430,3.799
440,3.897
450,4
460,4.075
470,3.575
