seconds,mean_intensity
-20,5.083
-10,4.351
0,2.009
10,2.917
20,2.688
30,2.827
40,2.738
50,2.872
60,2.935
70,3.086
80,3.312
90,2.893
100,3.571
110,3.28
120,3.515
130,3.851
140,3.521
150,3.176
160,3.467
170,3.923
180,4.003
190,4.062
200,4.202
210,4.086
220,4.137
230,4.217
240,4.161
250,4.083
260,3.83
270,3.94
280,3.798
290,3.842
300,3.631
310,3.807
320,3.482
330,3.673
340,3.914
350,3.756
360,3.726
370,4.491
380,3.72
390,4.048
400,3.741
410,4.054
420,2.917
430,2.964
440,3.265
450,3.946
460,3.89
470,3.232
