seconds,mean_intensity
-20,3.686
-10,3.84
0,2.329
10,2.385
20,2.255
30,2.243
40,2.117
50,2.102
60,2.591
70,2.708
80,2.942
90,2.815
100,3.034
110,3.237
120,2.812
130,2.846
140,2.634
150,3.031
160,2.745
170,3.065
180,3.065
190,3.732
200,2.686
210,2.895
220,2.895
230,2.769
240,2.991
250,2.821
260,3.298
270,3.177
280,2.892
290,2.874
300,3.49
310,3.091
320,2.934
330,2.776
340,2.832
350,2.566
360,2.839
370,3.08
380,2.759
390,3.238
400,3.346
410,3.192
420,2.979
430,4.528
440,3.206
450,3.371
460,3.678
470,2.741
