seconds,mean_intensity
-20,6.039
-10,5.938
0,6.14
10,5.793
20,5.906
30,5.106
40,5.133
50,5.218
60,4.789
70,4.457
80,4.811
90,5.262
100,4.552
110,5.055
120,5.106
130,4.531
140,4.949
150,4.595
160,4.729
170,4.685
180,4.887
190,5.287
200,5.837
210,5.092
220,5.37
230,5.136
240,5.159
250,5.71
260,5.598
270,5.611
280,5.338
290,4.846
300,5.12
310,5.097
320,5.06
330,4.607
340,4.398
350,4.811
360,5.234
370,5.462
380,4.563
390,4.522
400,4.653
410,4.471
420,4.545
430,4.11
440,4.209
450,4.255
460,4.09
470,4.726
