seconds,mean_intensity
-20,11.137
-10,10.949
0,11.439
10,11
20,11.663
30,10.588
40,10.031
50,11.451
60,11.537
70,11.012
80,11.604
90,11.49
100,9.878
110,9.624
120,9.627
130,10.333
140,9.769
150,9.89
160,9.224
170,9.478
180,9.882
190,9.663
200,8.945
210,9.671
220,10.02
230,9.749
240,9.4
250,10.129
260,9.067
270,8.757
280,7.984
290,7.196
300,8.125
310,8.141
320,8.129
330,8.055
340,7.298
350,7.698
360,7.2
370,7.604
380,7.957
390,7.882
400,7.725
410,7.22
420,7.937
430,7.118
440,7.776
450,7.878
460,7.58
470,7.859
