seconds,mean_intensity
-20,8.49
-10,8.35
0,7.36
10,8.105
20,7.375
30,6.875
40,7.39
50,6.89
60,7.225
70,6.415
80,7.145
90,7.37
100,8.175
110,8.18
120,8.17
130,7.425
140,6.775
150,7.415
160,7.625
170,7.04
180,6.75
190,7.49
200,7.295
210,6.955
220,5.7
230,5.91
240,5.07
250,5.075
260,5.68
270,4.57
280,5.61
290,5.155
300,5.095
310,5.405
320,4.11
330,4.465
340,5.29
350,5.825
360,5.245
370,5.16
380,6.295
390,5.32
400,3.755
410,4.365
420,3.755
430,3.88
440,3.51
450,2.895
460,2.98
470,3.855
