,position (um),Sema5c intensity,Abi intensity
0,0.0,27.6153,12.7279
1,0.0689,25.7898,11.917
2,0.1378,21.9605,10.1683
3,0.2067,20.2257,8.5259
4,0.2756,15.058,6.069
5,0.3445,15.0033,5.3933
6,0.4134,14.4042,4.398
7,0.4823,15.6095,5.0761
8,0.5512,14.3574,5.6665
9,0.6201,14.7686,4.9327
10,0.6889,18.0742,5.4805
11,0.7578,17.9636,5.1881
12,0.8267,13.2751,4.8392
13,0.8956,12.2289,4.4772
14,0.9645,12.3208,5.405
15,1.0334,9.5175,4.5367
16,1.1023,8.5164,5.1469
17,1.1712,7.8434,4.9264
18,1.2401,6.2809,4.0799
19,1.309,3.5102,3.4718
20,1.3779,4.5898,2.4269
21,1.4468,5.605,2.1255
22,1.5157,6.6629,2.9585
23,1.5846,8.9349,2.6406
24,1.6535,8.8514,4.2484
25,1.7224,7.6223,4.5814
26,1.7913,8.2969,3.8704
27,1.8602,7.8205,5.0712
28,1.929,7.5066,4.2966
29,1.9979,7.402,3.8961
30,2.0668,7.9801,4.0287
31,2.1357,11.1691,3.6601
32,2.2046,14.3704,2.6199
33,2.2735,12.1431,2.77
34,2.3424,11.0811,2.6944
35,2.4113,9.2103,2.3461
36,2.4802,7.7318,2.2494
37,2.5491,7.4606,2.6698
38,2.618,6.0825,3.3532
39,2.6869,5.961,2.9171
40,2.7558,6.7899,2.8826
41,2.8247,11.7198,2.3927
42,2.8936,14.4673,3.0139
43,2.9625,16.6643,2.8183
44,3.0314,16.6437,3.3071
45,3.1003,19.4633,3.8789
46,3.1691,26.6786,5.0264
47,3.238,32.2464,5.7195
48,3.3069,41.7409,6.7454
49,3.3758,52.8355,8.4328
50,3.4447,54.3863,8.2689
51,3.5136,52.2992,8.2286
52,3.5825,40.9683,6.4097
53,3.6514,25.2526,6.3896
54,3.7203,15.1045,4.6055
55,3.7892,10.6145,3.768
56,3.8581,8.5775,3.2911
57,3.927,6.182,4.0743
58,3.9959,5.661,3.285
59,4.0648,5.4869,3.2358
60,4.1337,5.6782,3.1532
61,4.2026,5.855,3.2546
62,4.2715,5.2053,2.7497
63,4.3404,5.4669,2.9038
64,4.4092,4.8392,2.5804
65,4.4781,3.8353,2.7317
66,4.547,3.7433,2.9146
67,4.6159,5.1505,3.729
68,4.6848,6.1053,3.7439
69,4.7537,7.3133,3.6806
