,position (um),Sema5c intensity,Abi intensity
0,0.0,15.5748,11.1414
1,0.0689,12.311,11.1529
2,0.1378,8.4376,8.5033
3,0.2067,6.3033,6.7919
4,0.2756,7.5276,6.0718
5,0.3445,6.9296,4.5808
6,0.4134,4.8243,4.0144
7,0.4823,5.8728,3.0474
8,0.5512,9.6849,3.198
9,0.6201,10.6716,2.8192
10,0.6889,10.0804,2.7528
11,0.7578,8.87,2.8627
12,0.8267,6.7633,3.0135
13,0.8956,6.0801,3.1569
14,0.9645,6.2258,3.5596
15,1.0334,5.3132,3.45
16,1.1023,6.0172,3.4974
17,1.1712,7.5453,2.9415
18,1.2401,7.2991,3.4504
19,1.309,7.9519,3.8826
20,1.3779,5.9816,3.6039
21,1.4468,7.7369,2.9518
22,1.5157,7.6321,2.7121
23,1.5846,6.515,2.745
24,1.6535,8.7367,2.7304
25,1.7224,9.2749,2.7274
26,1.7913,8.1882,2.5302
27,1.8602,8.0318,2.4483
28,1.929,8.3623,2.2161
29,1.9979,11.0316,3.1241
30,2.0668,11.2674,3.9691
31,2.1357,10.7885,3.8293
32,2.2046,11.1987,2.8868
33,2.2735,9.0919,2.3481
34,2.3424,8.8073,2.156
35,2.4113,9.5923,2.2975
36,2.4802,6.9129,2.8686
37,2.5491,7.1298,2.5238
38,2.618,9.2414,2.4532
39,2.6869,10.1232,3.0889
40,2.7558,11.345,4.0127
41,2.8247,12.6768,3.7023
42,2.8936,11.3715,3.5974
43,2.9625,11.9438,5.5562
44,3.0314,13.8673,5.171
45,3.1003,17.1737,6.0192
46,3.1691,24.7949,6.4388
47,3.238,28.8817,9.134
48,3.3069,23.9114,9.8975
49,3.3758,15.6015,8.1243
50,3.4447,10.5856,6.018
51,3.5136,8.6014,4.554
52,3.5825,8.2524,2.9747
53,3.6514,5.7017,3.2004
54,3.7203,4.7656,3.3025
55,3.7892,4.0173,3.8546
56,3.8581,4.7219,3.3229
57,3.927,4.0352,3.5962
58,3.9959,4.5406,2.914
59,4.0648,3.7793,2.7651
60,4.1337,3.2899,2.9064
61,4.2026,6.4257,1.9418
62,4.2715,4.6437,1.2886
63,4.3404,5.4497,1.1394
64,4.4092,5.3189,1.5211
65,4.4781,4.1462,1.9987
66,4.547,5.1399,2.2792
67,4.6159,5.2097,1.9764
68,4.6848,6.5934,1.3134
69,4.7537,7.9907,1.4871
70,4.8226,4.9237,1.222
71,4.8915,3.9346,1.4327
72,4.9604,2.8099,2.0254
73,5.0293,3.3415,1.9312
74,5.0982,2.7673,2.5439
75,5.1671,3.3497,2.5371
76,5.236,2.9224,2.5217
77,5.3049,3.1836,2.9261
78,5.3738,5.097,2.8537
79,5.4427,5.8046,3.0735
80,5.5116,4.1187,3.1499
81,5.5805,2.7783,3.0952
82,5.6493,2.8664,2.9408
83,5.7182,3.0415,3.5086
84,5.7871,5.4532,3.0174
85,5.856,7.3071,2.9128
86,5.9249,10.0204,3.0818
87,5.9938,14.8742,4.4585
88,6.0627,21.6743,4.5735
89,6.1316,25.194,4.8144
90,6.2005,27.5218,6.9985
91,6.2694,25.8523,7.787
