,position (um),Sema5c intensity,Abi intensity
0,0.0,44.5856,17.1785
1,0.0689,34.0059,15.3488
2,0.1378,19.0765,10.6273
3,0.2067,10.5724,7.3315
4,0.2756,6.8882,4.86
5,0.3445,4.6722,3.8499
6,0.4134,3.7743,4.2436
7,0.4823,5.4214,4.4692
8,0.5512,6.4945,4.6634
9,0.6201,7.1609,5.1901
10,0.6889,9.2526,5.8931
11,0.7578,8.4322,5.5333
12,0.8267,10.1681,5.0562
13,0.8956,15.4955,5.9138
14,0.9645,23.1527,7.6118
15,1.0334,26.2349,9.5819
16,1.1023,23.7312,9.1964
17,1.1712,16.2131,8.4514
18,1.2401,10.7787,8.3116
19,1.309,8.1709,7.0538
20,1.3779,7.2992,6.5771
21,1.4468,7.6992,6.5103
22,1.5157,9.0723,6.9231
23,1.5846,11.6624,7.542
24,1.6535,12.8188,6.0611
25,1.7224,12.2272,4.7711
26,1.7913,10.2904,5.7146
27,1.8602,7.9742,4.6484
28,1.929,9.3579,3.8641
29,1.9979,8.0695,4.3723
30,2.0668,7.0142,3.7402
31,2.1357,7.78,3.1159
32,2.2046,7.3681,2.7772
33,2.2735,6.9099,3.7025
34,2.3424,7.9084,3.9223
35,2.4113,6.4835,3.9845
36,2.4802,4.5163,4.4957
37,2.5491,3.4982,5.3285
38,2.618,2.431,6.4832
39,2.6869,2.4671,6.1235
40,2.7558,1.9718,6.7013
41,2.8247,2.907,5.5123
42,2.8936,5.9774,5.6819
43,2.9625,5.619,4.5654
44,3.0314,3.6464,3.742
45,3.1003,6.0577,3.2123
46,3.1691,6.5064,3.6925
47,3.238,8.7979,4.4933
48,3.3069,8.0913,5.4324
49,3.3758,10.6698,6.1256
50,3.4447,12.5161,6.4296
51,3.5136,14.0158,8.1847
52,3.5825,18.8432,9.3901
53,3.6514,23.3403,10.9237
54,3.7203,27.4823,12.1275
55,3.7892,24.669,12.481
56,3.8581,19.7351,9.6138
57,3.927,15.1064,8.8463
58,3.9959,13.3709,7.9125
59,4.0648,13.168,7.1553
60,4.1337,17.293,6.4194
61,4.2026,17.1222,6.131
62,4.2715,18.4071,6.8579
63,4.3404,12.229,6.8488
64,4.4092,7.5245,5.0709
65,4.4781,4.7809,3.9621
66,4.547,2.2003,2.6668
67,4.6159,2.0675,2.2491
68,4.6848,2.9923,2.2102
69,4.7537,2.3588,2.2928
70,4.8226,1.953,1.938
71,4.8915,1.3256,2.3656
72,4.9604,2.551,1.434
73,5.0293,3.3661,2.2778
74,5.0982,3.16,2.949
75,5.1671,4.2363,3.6208
76,5.236,4.6352,3.8075
77,5.3049,5.5156,3.8333
78,5.3738,5.2229,4.3938
79,5.4427,5.5146,5.614
80,5.5116,6.395,4.3905
81,5.5805,4.4468,3.9755
82,5.6493,3.5377,3.0597
83,5.7182,3.1835,2.6365
84,5.7871,4.6299,2.3752
85,5.856,6.4898,2.7266
86,5.9249,8.6574,2.2965
87,5.9938,6.959,2.6061
88,6.0627,5.6156,2.8938
89,6.1316,8.7686,3.3703
90,6.2005,6.7163,3.5425
91,6.2694,4.6159,3.1384
92,6.3383,5.7542,3.114
93,6.4072,5.9907,2.8972
94,6.4761,5.0555,3.8405
95,6.545,5.1981,4.636
96,6.6139,4.8876,5.3917
97,6.6828,3.3716,3.8426
98,6.7517,5.5108,2.8835
99,6.8206,7.7368,2.8956
100,6.8894,10.5858,2.3604
101,6.9583,10.9571,2.2845
102,7.0272,10.6136,3.3371
103,7.0961,11.8281,3.3624
104,7.165,11.3659,5.1652
105,7.2339,9.229,4.7861
106,7.3028,9.677,5.0622
107,7.3717,10.555,5.7688
108,7.4406,9.9767,5.424
109,7.5095,9.2814,6.211
110,7.5784,8.3453,5.497
111,7.6473,8.5904,5.2722
112,7.7162,8.0766,4.818
113,7.7851,8.8493,5.3685
114,7.854,12.8019,5.9485
115,7.9229,13.1458,5.3581
116,7.9918,14.5561,6.3342
117,8.0607,15.7135,7.5741
118,8.1296,17.4247,8.1944
119,8.1984,17.531,8.3314
120,8.2673,15.5472,7.6515
121,8.3362,12.3314,8.7356
122,8.4051,11.779,7.7364
123,8.474,13.1744,7.7322
124,8.5429,13.6125,8.5248
125,8.6118,14.5364,8.9695
126,8.6807,12.7173,7.1527
127,8.7496,9.7255,7.0553
128,8.8185,11.6915,7.0104
129,8.8874,12.9131,6.9214
130,8.9563,14.1947,6.7901
131,9.0252,19.6562,6.6102
132,9.0941,23.1152,6.513
133,9.163,28.409,7.8623
134,9.2319,33.4298,8.3297
135,9.3008,31.0896,8.4512
136,9.3697,27.8726,11.3015
137,9.4385,26.4568,10.0436
138,9.5074,20.3286,9.4252
139,9.5763,13.5568,9.333
140,9.6452,11.9551,6.8331
141,9.7141,10.5303,5.7966
142,9.783,12.8564,6.0786
143,9.8519,12.397,5.0759
144,9.9208,10.6317,4.2551
145,9.9897,9.0573,4.4521
146,10.0586,6.89,4.1413
147,10.1275,5.4191,4.1798
148,10.1964,3.7549,3.7023
149,10.2653,3.6256,3.1727
150,10.3342,4.2163,2.6797
151,10.4031,3.0777,2.2087
152,10.472,3.1612,2.8223
153,10.5409,2.4782,2.5608
154,10.6098,2.6546,2.2687
155,10.6786,2.6205,2.618
156,10.7475,2.5245,3.0089
157,10.8164,3.3453,3.5306
158,10.8853,3.687,3.1745
159,10.9542,4.9729,3.1562
160,11.0231,5.8646,4.6541
161,11.092,6.6309,4.8114
162,11.1609,10.1651,4.5197
163,11.2298,10.6983,3.5341
164,11.2987,11.5872,3.1151
