,position (um),Sema5c intensity,Abi intensity
0,0.0,6.3213,4.4092
1,0.0689,9.4086,5.3268
2,0.1378,8.5133,3.8313
3,0.2067,7.8958,3.1701
4,0.2756,7.782,3.927
5,0.3445,9.3889,3.7584
6,0.4134,9.3015,3.4473
7,0.4823,10.4024,3.9091
8,0.5512,8.5085,2.3986
9,0.6201,6.0558,2.9872
10,0.6889,5.3689,3.2743
11,0.7578,5.0187,3.0583
12,0.8267,5.0104,2.7309
13,0.8956,5.2762,2.9564
14,0.9645,6.8622,3.7055
15,1.0334,9.986,3.9485
16,1.1023,9.0509,3.5736
17,1.1712,11.4215,3.7942
18,1.2401,11.4463,3.7906
19,1.309,8.3644,4.8037
20,1.3779,9.366,5.8384
21,1.4468,4.9372,5.3515
22,1.5157,4.6385,4.3889
23,1.5846,5.2613,4.5091
24,1.6535,6.9547,3.1558
25,1.7224,9.7454,3.0849
26,1.7913,13.6754,3.9808
27,1.8602,15.6806,4.6925
28,1.929,16.9753,4.2536
29,1.9979,18.2996,4.0475
30,2.0668,21.1919,3.409
31,2.1357,18.1593,4.1472
32,2.2046,22.3422,3.6822
33,2.2735,26.6359,4.2945
34,2.3424,26.9643,4.5931
35,2.4113,21.2999,3.8498
36,2.4802,13.6167,4.0737
37,2.5491,8.0064,3.9431
38,2.618,5.3273,3.3162
39,2.6869,5.3283,3.6594
40,2.7558,7.9148,2.9176
41,2.8247,8.827,3.8615
42,2.8936,8.7836,5.1137
43,2.9625,10.8732,4.3281
44,3.0314,12.7697,4.0312
45,3.1003,13.7361,4.028
46,3.1691,12.2269,3.2567
47,3.238,9.9624,3.1185
48,3.3069,13.037,2.8712
49,3.3758,19.905,2.9305
50,3.4447,26.1156,3.8315
51,3.5136,29.1197,3.7075
52,3.5825,28.9684,3.9178
53,3.6514,25.8614,4.3434
54,3.7203,22.6136,4.0374
55,3.7892,14.8759,3.6298
56,3.8581,11.4885,3.4561
57,3.927,11.1106,2.7044
58,3.9959,10.2957,2.8505
59,4.0648,9.7693,2.1224
60,4.1337,7.7385,2.5026
61,4.2026,9.7905,2.4515
62,4.2715,11.4334,3.1098
63,4.3404,20.6821,3.0058
64,4.4092,24.48,3.7668
65,4.4781,26.2654,3.9858
66,4.547,21.8531,3.7368
67,4.6159,12.3604,3.3843
68,4.6848,11.1465,2.7997
69,4.7537,9.5054,2.9371
70,4.8226,7.1632,3.6607
71,4.8915,7.7539,3.3214
72,4.9604,8.312,3.4723
73,5.0293,9.8415,2.5433
74,5.0982,9.2223,3.4007
75,5.1671,9.5848,3.4339
76,5.236,11.474,4.178
77,5.3049,16.4926,5.3706
78,5.3738,20.9576,8.9624
79,5.4427,22.0878,8.8026
80,5.5116,15.3089,8.6902
81,5.5805,6.2658,8.3696
82,5.6493,2.8758,4.3528
83,5.7182,1.9842,2.6332
84,5.7871,2.0812,1.8783
85,5.856,3.3559,1.6633
86,5.9249,4.0585,2.066
87,5.9938,4.3944,2.0689
88,6.0627,5.7634,1.601
89,6.1316,7.3826,1.1745
90,6.2005,11.5884,1.7579
91,6.2694,15.8191,1.5435
92,6.3383,15.9397,1.8534
93,6.4072,13.106,1.9231
94,6.4761,10.1782,3.1337
95,6.545,11.6278,3.3103
96,6.6139,12.0818,3.6996
97,6.6828,12.6192,3.0093
98,6.7517,12.7125,3.3899
99,6.8206,14.4243,2.8142
