,position (um),Sema5c intensity,Abi intensity
0,0.0,18.4443,7.0537
1,0.0689,16.4545,6.0318
2,0.1378,13.0071,6.5678
3,0.2067,7.3973,4.8438
4,0.2756,5.0837,4.3276
5,0.3445,4.1685,3.9764
6,0.4134,6.0306,3.1791
7,0.4823,5.3134,2.4084
8,0.5512,6.4034,1.5293
9,0.6201,4.3761,2.1368
10,0.6889,4.936,2.2924
11,0.7578,5.6936,2.0745
12,0.8267,4.0517,2.3192
13,0.8956,3.5189,1.7464
14,0.9645,2.9362,2.1857
15,1.0334,3.3431,2.3405
16,1.1023,3.7706,2.8587
17,1.1712,7.5782,3.1646
18,1.2401,7.9818,4.1165
19,1.309,5.194,4.3287
20,1.3779,3.1398,3.3941
21,1.4468,3.3981,4.1203
22,1.5157,5.0693,3.51
23,1.5846,8.3093,3.9794
24,1.6535,10.6757,4.3578
25,1.7224,12.1212,4.9243
26,1.7913,10.8855,5.209
27,1.8602,11.259,4.7257
28,1.929,11.9016,4.3583
29,1.9979,14.7484,4.2624
30,2.0668,17.0171,3.4759
31,2.1357,19.0032,4.295
32,2.2046,20.6336,4.74
33,2.2735,26.2668,5.6516
34,2.3424,39.114,7.889
35,2.4113,43.8894,10.0691
36,2.4802,42.5664,10.2415
37,2.5491,33.9454,11.6422
38,2.618,22.6904,10.7709
39,2.6869,13.3488,7.7908
40,2.7558,9.0408,6.9251
41,2.8247,8.1704,5.8696
42,2.8936,8.1014,5.576
43,2.9625,8.732,5.0223
44,3.0314,10.6258,4.9626
45,3.1003,12.5507,5.8402
46,3.1691,15.9408,5.9977
47,3.238,15.7617,6.6103
48,3.3069,11.9124,6.9628
49,3.3758,7.8042,6.0598
50,3.4447,7.3469,5.8997
51,3.5136,6.5552,6.422
52,3.5825,4.9286,5.3749
53,3.6514,5.9947,4.9187
54,3.7203,4.6923,5.2657
55,3.7892,4.4061,4.3581
56,3.8581,6.6287,4.099
57,3.927,5.5716,3.9941
58,3.9959,5.0421,3.6177
59,4.0648,9.2592,3.5167
60,4.1337,11.3533,4.1111
61,4.2026,9.7379,3.6644
62,4.2715,9.7618,4.5292
63,4.3404,8.3341,4.7456
64,4.4092,8.4491,3.9501
65,4.4781,6.9146,4.1466
66,4.547,6.4583,5.0582
67,4.6159,5.7115,5.4556
68,4.6848,6.694,5.1943
69,4.7537,10.9509,4.8222
70,4.8226,14.7013,4.8875
71,4.8915,14.54,4.3101
72,4.9604,12.9142,3.0417
73,5.0293,14.4461,4.0871
74,5.0982,12.4076,4.3053
75,5.1671,11.0415,4.2792
76,5.236,11.4249,4.5725
77,5.3049,9.8607,4.6955
78,5.3738,12.0528,4.7878
79,5.4427,13.9471,4.6583
80,5.5116,10.3111,3.7667
81,5.5805,10.7146,3.4069
82,5.6493,8.1516,3.8801
83,5.7182,9.2736,4.6738
84,5.7871,10.2532,3.6087
85,5.856,8.7941,3.3792
86,5.9249,9.9022,2.9557
87,5.9938,12.1639,3.3613
88,6.0627,15.0325,4.0053
89,6.1316,21.7688,5.2358
90,6.2005,32.2148,5.4467
91,6.2694,32.3231,5.4539
92,6.3383,27.8045,6.2914
93,6.4072,17.5233,5.548
94,6.4761,11.2688,4.7706
95,6.545,8.8305,3.279
96,6.6139,7.5115,2.8599
97,6.6828,7.824,2.4659
98,6.7517,8.8507,2.743
99,6.8206,7.4354,3.3982
100,6.8894,6.9233,3.0619
101,6.9583,7.8302,2.8402
102,7.0272,7.1478,3.0276
103,7.0961,5.8835,2.1155
104,7.165,6.9865,1.8558
105,7.2339,5.2059,1.9917
106,7.3028,3.8573,1.7888
107,7.3717,2.8126,1.9453
108,7.4406,3.8009,2.224
109,7.5095,3.3594,2.2473
110,7.5784,5.0074,2.1828
111,7.6473,3.6381,1.914
112,7.7162,4.0918,1.8651
113,7.7851,3.7692,1.7096
114,7.854,4.9526,1.5725
115,7.9229,4.3343,2.2881
116,7.9918,3.4619,2.3925
117,8.0607,3.1091,2.9306
118,8.1296,3.2976,2.8898
119,8.1984,3.4099,2.565
120,8.2673,2.3082,2.7123
121,8.3362,2.3253,2.7679
122,8.4051,3.3778,2.998
123,8.474,4.0688,2.9083
124,8.5429,5.3145,3.0327
