,position (um),Sema5c intensity,Abi intensity
0,0.0,37.9625,12.1308
1,0.0689,40.2426,12.2349
2,0.1378,38.7487,10.476
3,0.2067,24.2369,9.0535
4,0.2756,21.5257,9.3913
5,0.3445,16.3435,7.9005
6,0.4134,12.6853,9.1626
7,0.4823,13.6591,8.1837
8,0.5512,13.5922,6.2386
9,0.6201,10.2122,7.3388
10,0.6889,7.2219,7.1765
11,0.7578,5.9576,5.5983
12,0.8267,5.1042,5.0346
13,0.8956,8.5077,4.3989
14,0.9645,12.6489,4.9751
15,1.0334,15.2457,5.6506
16,1.1023,15.1395,5.7311
17,1.1712,12.5186,5.5831
18,1.2401,9.3871,4.7742
19,1.309,8.2226,3.172
20,1.3779,7.0649,3.8277
21,1.4468,6.0269,4.7883
22,1.5157,6.1283,4.9185
23,1.5846,7.1617,3.7913
24,1.6535,9.3283,4.2456
25,1.7224,13.9932,4.8047
26,1.7913,17.1304,4.3971
27,1.8602,21.6716,3.9845
28,1.929,22.6604,3.7119
29,1.9979,22.5435,5.0551
30,2.0668,18.5514,5.7027
31,2.1357,15.533,4.5682
32,2.2046,12.2079,5.4137
33,2.2735,12.1497,4.2788
34,2.3424,10.4282,4.0314
35,2.4113,7.3558,3.1152
36,2.4802,7.0876,2.4167
37,2.5491,7.376,2.9136
38,2.618,7.0204,3.3878
39,2.6869,7.6341,3.0039
40,2.7558,6.8683,3.8709
41,2.8247,9.0214,3.8447
42,2.8936,7.9866,3.384
43,2.9625,8.4074,3.4901
44,3.0314,7.8763,3.4661
45,3.1003,3.8044,2.8168
46,3.1691,3.0308,2.6786
47,3.238,4.4596,2.9905
48,3.3069,5.6664,2.8561
49,3.3758,5.679,3.1753
50,3.4447,5.8243,2.5893
51,3.5136,6.2299,3.1639
52,3.5825,5.302,3.2781
53,3.6514,5.2046,3.2202
54,3.7203,7.6168,3.6243
55,3.7892,10.8614,4.7375
56,3.8581,14.6887,4.5566
57,3.927,14.2064,4.9258
58,3.9959,15.9248,3.6867
59,4.0648,15.6132,3.9398
60,4.1337,12.4991,4.1601
61,4.2026,9.7737,5.131
62,4.2715,8.9143,4.9034
63,4.3404,7.2913,5.9452
64,4.4092,5.8487,5.0694
65,4.4781,7.7618,4.5364
66,4.547,10.3986,4.6197
67,4.6159,10.9105,3.8027
68,4.6848,13.8104,3.6713
69,4.7537,16.1933,5.3022
70,4.8226,18.1285,5.8666
71,4.8915,17.4009,4.9423
72,4.9604,16.6732,5.9699
73,5.0293,14.399,6.2517
74,5.0982,13.9155,5.0686
75,5.1671,11.2523,3.8624
76,5.236,12.4586,4.7014
77,5.3049,13.787,3.825
78,5.3738,10.3457,3.6906
79,5.4427,6.8313,2.6062
80,5.5116,7.9411,3.4196
81,5.5805,7.7957,3.4785
82,5.6493,7.1942,4.5661
83,5.7182,8.9027,3.8221
84,5.7871,11.1694,3.7749
85,5.856,13.2165,3.3549
86,5.9249,14.4919,4.3017
87,5.9938,13.1728,3.5449
88,6.0627,15.9976,4.347
89,6.1316,17.2985,6.0108
90,6.2005,27.8441,7.6375
91,6.2694,36.0579,10.6369
92,6.3383,35.0457,11.1442
93,6.4072,30.5786,7.308
94,6.4761,19.4765,5.7347
95,6.545,11.4173,3.1218
96,6.6139,8.5254,1.9879
97,6.6828,13.9083,4.8518
98,6.7517,13.4774,4.9277
99,6.8206,11.2479,3.9235
100,6.8894,6.5116,4.1691
101,6.9583,3.2733,2.6191
102,7.0272,4.5895,1.8077
103,7.0961,5.7298,1.1077
104,7.165,4.524,1.3814
105,7.2339,4.2256,1.9851
106,7.3028,5.1127,1.69
107,7.3717,5.3748,1.5829
108,7.4406,5.9919,1.7518
109,7.5095,4.1589,1.2941
110,7.5784,3.8146,1.8221
111,7.6473,1.3605,1.9591
112,7.7162,1.6709,1.3141
113,7.7851,2.2416,0.6095
114,7.854,1.5327,1.3469
115,7.9229,1.555,1.141
116,7.9918,2.1466,1.1042
117,8.0607,2.7969,1.176
118,8.1296,3.3599,1.8092
119,8.1984,3.5372,1.9499
120,8.2673,6.1855,2.4308
121,8.3362,7.8089,3.2504
122,8.4051,9.8603,5.0289
123,8.474,16.3624,5.9289
124,8.5429,18.2458,5.6519
125,8.6118,21.4317,5.9037
126,8.6807,18.6822,4.3869
127,8.7496,11.6775,4.0868
128,8.8185,8.7252,3.6884
129,8.8874,5.5409,2.554
130,8.9563,4.1111,1.6754
131,9.0252,3.4945,1.9972
132,9.0941,4.3585,1.6681
133,9.163,5.1476,1.5107
134,9.2319,7.8815,1.5339
135,9.3008,6.7298,1.7823
136,9.3697,7.059,1.9518
137,9.4385,9.469,1.9921
138,9.5074,10.2635,3.6129
139,9.5763,14.186,4.5847
140,9.6452,20.499,5.9323
141,9.7141,21.0778,4.9499
142,9.783,17.5073,4.4498
143,9.8519,11.511,2.918
144,9.9208,8.7381,2.9891
145,9.9897,9.9394,3.4783
146,10.0586,11.4432,4.9494
147,10.1275,16.5215,3.6324
148,10.1964,24.8628,3.0026
149,10.2653,31.541,3.169
150,10.3342,37.9515,3.7153
151,10.4031,38.7644,3.2497
152,10.472,32.4895,3.1927
153,10.5409,21.0447,4.2127
154,10.6098,17.0661,4.9094
155,10.6786,17.5992,5.5838
156,10.7475,24.1959,5.5547
157,10.8164,26.6835,5.0746
158,10.8853,31.559,4.8154
159,10.9542,33.4411,6.3184
160,11.0231,31.469,7.7084
161,11.092,36.2076,8.8434
162,11.1609,35.9621,8.3424
163,11.2298,30.9806,8.5993
164,11.2987,24.5362,8.7281
165,11.3676,20.5649,6.7925
166,11.4365,15.1921,4.8406
167,11.5054,12.6384,4.9297
168,11.5743,9.4532,3.8477
169,11.6432,7.6304,4.1148
170,11.7121,4.7513,3.4127
171,11.781,5.274,3.0593
172,11.8499,3.7466,2.2932
173,11.9187,3.7687,3.2465
174,11.9876,3.0712,3.1065
