,position (um),Sema5c intensity,Abi intensity
190,13.09,3.4073,2.5875
191,13.1588,4.4113,2.4231
192,13.2277,3.5487,3.2077
193,13.2966,3.2856,3.054
194,13.3655,3.6953,4.4654
195,13.4344,4.7938,4.7114
196,13.5033,6.0752,4.5134
197,13.5722,6.5829,3.7279
198,13.6411,5.8744,3.6519
199,13.71,9.5942,4.3315
200,13.7789,11.6332,3.7117
201,13.8478,13.6603,3.6335
202,13.9167,16.197,3.4471
203,13.9856,16.6422,3.9608
204,14.0545,16.9823,4.3607
205,14.1234,17.4062,5.742
206,14.1923,16.1297,5.2197
207,14.2612,17.27,5.6009
208,14.3301,17.6789,4.4355
209,14.3989,15.7411,6.1603
210,14.4678,14.0998,5.3768
211,14.5367,12.6988,6.592
212,14.6056,15.5301,5.8064
213,14.6745,13.4695,4.3136
214,14.7434,11.1699,3.758
215,14.8123,11.9878,4.0503
216,14.8812,12.3431,5.3474
217,14.9501,10.5882,5.2221
218,15.019,10.8743,4.8756
219,15.0879,12.9663,5.7078
220,15.1568,9.0664,5.7809
221,15.2257,6.6998,5.2493
222,15.2946,4.8547,4.2951
223,15.3635,5.5497,3.6297
224,15.4324,5.0442,4.4456
225,15.5013,5.8883,5.4753
226,15.5702,4.5546,5.3146
227,15.6391,6.4052,5.3337
228,15.7079,8.4837,6.3327
229,15.7768,14.5932,6.5659
230,15.8457,20.7875,7.3498
231,15.9146,29.0578,8.071
232,15.9835,37.5046,8.5608
233,16.0524,46.8313,6.76
234,16.1213,63.5664,8.4979
235,16.1902,77.5816,9.3991
236,16.2591,78.8905,11.2481
237,16.328,66.8666,11.078
238,16.3969,55.4416,9.8316
239,16.4658,38.7805,9.7331
240,16.5347,27.8935,8.7674
241,16.6036,24.2697,7.7154
242,16.6725,23.7214,7.1567
243,16.7414,25.1655,8.0472
244,16.8103,27.0487,7.5666
245,16.8792,29.3733,10.0047
246,16.948,29.827,10.9946
247,17.0169,25.5115,12.8821
248,17.0858,24.0125,12.5019
249,17.1547,19.8415,9.0271
250,17.2236,15.4109,8.3469
251,17.2925,13.805,7.3495
252,17.3614,13.4855,6.8502
253,17.4303,12.7179,6.1701
254,17.4992,11.4884,4.7295
255,17.5681,9.0945,4.4119
256,17.637,7.8505,5.0838
257,17.7059,8.3715,4.0993
258,17.7748,6.7324,4.5194
259,17.8437,5.9293,3.5026
260,17.9126,4.2108,4.3685
261,17.9815,3.8633,4.152
262,18.0504,5.6949,4.0591
263,18.1193,6.4757,4.7734
264,18.1881,5.2396,5.2382
265,18.257,5.5789,5.6151
266,18.3259,4.5345,5.4322
267,18.3948,4.8349,3.8955
268,18.4637,4.324,4.6341
269,18.5326,4.1897,3.0952
270,18.6015,2.5326,3.7239
271,18.6704,2.1839,4.6113
272,18.7393,2.3972,5.0222
273,18.8082,3.7499,4.7016
274,18.8771,3.4766,4.7759
275,18.946,2.5801,4.7797
276,19.0149,2.0052,4.5489
277,19.0838,3.7717,3.911
278,19.1527,5.535,4.197
279,19.2216,5.0207,4.6705
280,19.2905,6.742,3.791
281,19.3594,5.3072,3.8764
282,19.4282,4.1323,4.1145
283,19.4971,4.8558,4.5808
284,19.566,5.9543,4.63
285,19.6349,6.6548,5.657
286,19.7038,8.6387,7.881
287,19.7727,17.1313,8.696
288,19.8416,22.9666,10.2199
289,19.9105,24.676,10.7223
290,19.9794,25.3777,13.3476
291,20.0483,22.3349,12.4716
292,20.1172,16.2742,11.2814
293,20.1861,12.9428,9.3269
294,20.255,7.9998,7.7673
295,20.3239,8.3284,6.0837
296,20.3928,9.1764,6.4824
297,20.4617,7.7249,5.721
298,20.5306,7.1118,5.0563
299,20.5995,6.0386,4.2576
300,20.6683,5.1785,4.1444
301,20.7372,4.8622,3.7017
302,20.8061,4.9736,3.8286
303,20.875,4.1114,4.4568
304,20.9439,3.0161,3.6119
305,21.0128,1.9939,3.4876
306,21.0817,3.3436,3.3262
307,21.1506,6.3475,4.5854
308,21.2195,13.8927,4.7564
309,21.2884,18.5887,7.5203
310,21.3573,17.4521,7.4751
311,21.4262,14.1951,6.8894
312,21.4951,15.8447,7.6945
313,21.564,14.8852,6.4653
314,21.6329,9.7686,5.428
315,21.7018,7.2162,4.797
316,21.7707,5.8494,3.7332
317,21.8396,5.4876,3.1007
318,21.9084,4.6999,3.1251
319,21.9773,3.5873,2.9362
320,22.0462,2.6193,3.3432
321,22.1151,3.0658,3.7726
322,22.184,2.692,4.7993
323,22.2529,2.0579,4.1711
324,22.3218,1.7425,4.0294
325,22.3907,2.6891,3.3101
326,22.4596,5.1122,2.6112
327,22.5285,6.3371,2.622
328,22.5974,7.3093,2.5518
329,22.6663,7.6001,2.3592
330,22.7352,5.2657,2.1217
331,22.8041,3.0808,2.0766
332,22.873,3.5464,2.1757
333,22.9419,6.4332,2.0277
334,23.0108,6.2555,2.5575
335,23.0797,5.9008,2.5291
336,23.1486,5.9637,3.0643
337,23.2174,5.2669,2.4895
338,23.2863,4.198,2.0552
339,23.3552,3.2539,2.6092
340,23.4241,3.9204,1.9721
341,23.493,6.1981,2.2664
342,23.5619,10.3714,2.2016
343,23.6308,12.5723,2.3431
344,23.6997,11.4392,2.6844
345,23.7686,7.435,3.0105
346,23.8375,4.4367,2.1483
347,23.9064,1.5812,1.6618
348,23.9753,2.3683,1.7128
349,24.0442,2.0383,2.313
350,24.1131,2.1812,2.2852
351,24.182,3.3422,2.2753
352,24.2509,3.6149,2.8453
353,24.3198,5.3385,3.0146
354,24.3887,8.2504,3.9498
355,24.4575,8.3033,4.1916
356,24.5264,7.7575,3.9448
357,24.5953,6.6487,4.4104
358,24.6642,4.426,5.109
359,24.7331,3.7297,5.5611
360,24.802,4.8149,6.1414
361,24.8709,6.5135,5.6514
362,24.9398,10.1235,5.1846
363,25.0087,9.0591,5.759
364,25.0776,11.9467,5.2055
365,25.1465,11.5242,5.3245
366,25.2154,9.8659,6.4453
367,25.2843,14.0345,7.8906
368,25.3532,20.1011,8.3724
369,25.4221,24.8123,9.6284
370,25.491,35.3261,13.9228
371,25.5599,36.9484,16.1775
372,25.6288,34.0782,17.3479
373,25.6976,26.074,14.4009
374,25.7665,18.737,10.3139
375,25.8354,13.335,9.5209
376,25.9043,9.3821,6.7904
377,25.9732,5.1943,5.1424
378,26.0421,5.4076,4.8318
379,26.111,4.3486,4.8031
380,26.1799,3.0711,5.737
381,26.2488,2.9515,4.4916
382,26.3177,1.8411,5.1149
881,0.0,15.7191,8.1499
882,0.0689,15.4213,7.4384
883,0.1378,14.4553,8.5776
884,0.2067,12.6071,8.6999
885,0.2756,11.3048,7.879
886,0.3445,8.1993,6.8286
887,0.4134,6.5892,6.9135
888,0.4823,6.7934,5.2057
889,0.5512,5.1698,5.1563
890,0.6201,6.2972,4.1083
891,0.6889,5.7732,3.6625
892,0.7578,6.3396,3.6616
893,0.8267,7.8454,3.0577
894,0.8956,8.4523,2.7749
895,0.9645,7.7413,2.2364
896,1.0334,6.8972,3.8118
897,1.1023,6.1422,2.9254
898,1.1712,4.9941,3.2793
899,1.2401,6.0761,4.1284
900,1.309,7.4092,3.3662
901,1.3779,10.6575,3.3926
902,1.4468,13.8931,3.8676
903,1.5157,15.4581,3.758
904,1.5846,15.0826,3.2127
905,1.6535,13.3527,2.8412
906,1.7224,11.5495,3.6753
907,1.7913,11.1736,3.5428
908,1.8602,13.0129,3.2182
909,1.929,10.5576,3.5907
910,1.9979,11.1718,3.2333
911,2.0668,12.0784,3.6945
912,2.1357,12.3585,4.4301
913,2.2046,10.6928,4.2619
914,2.2735,9.5188,2.9712
915,2.3424,10.1851,3.827
916,2.4113,11.0546,3.507
917,2.4802,11.4926,2.9542
918,2.5491,14.0538,2.744
919,2.618,14.657,3.786
920,2.6869,16.3444,4.3754
921,2.7558,16.832,5.1783
922,2.8247,11.8071,4.5569
923,2.8936,12.2583,4.6352
924,2.9625,10.7726,4.6612
925,3.0314,10.9538,3.9274
926,3.1003,11.4635,3.7354
927,3.1691,6.2884,4.7716
928,3.238,4.8607,4.1349
929,3.3069,4.4809,4.0277
930,3.3758,3.209,3.1666
931,3.4447,4.1101,4.1195
932,3.5136,5.3118,2.7083
933,3.5825,7.0588,3.6798
934,3.6514,14.7294,3.6021
935,3.7203,15.5699,4.489
936,3.7892,16.7487,4.7935
937,3.8581,13.9303,4.475
938,3.927,12.0491,4.2598
939,3.9959,10.7238,4.2855
940,4.0648,10.0086,4.3728
941,4.1337,6.4635,4.2408
942,4.2026,7.6705,3.4217
943,4.2715,11.2054,3.2124
944,4.3404,17.9043,4.2026
945,4.4092,28.0479,6.1376
946,4.4781,35.4304,7.7444
947,4.547,33.3962,9.0569
948,4.6159,22.1209,9.1065
949,4.6848,16.0006,9.1509
950,4.7537,9.8788,7.0019
951,4.8226,6.2222,4.2891
952,4.8915,6.493,3.0727
953,4.9604,4.6027,3.4371
954,5.0293,3.1264,2.7806
955,5.0982,3.078,2.61
956,5.1671,2.3026,2.8661
957,5.236,2.5911,1.7274
958,5.3049,3.1102,1.6766
959,5.3738,2.7549,2.4823
960,5.4427,2.5291,2.5853
961,5.5116,5.1452,2.1778
962,5.5805,5.7438,2.3794
963,5.6493,4.9797,2.7895
964,5.7182,4.6118,3.6278
965,5.7871,3.6207,4.6883
966,5.856,3.7152,4.7883
967,5.9249,3.5985,5.0565
968,5.9938,3.2721,4.2883
969,6.0627,4.0672,5.0992
970,6.1316,4.8005,4.4194
971,6.2005,5.4046,3.7372
972,6.2694,5.1318,4.4746
973,6.3383,5.2934,4.98
974,6.4072,3.8438,5.5041
975,6.4761,3.6163,4.8328
976,6.545,2.5224,5.2333
977,6.6139,4.8448,5.2708
978,6.6828,4.0197,4.594
979,6.7517,3.3394,4.2323
980,6.8206,3.3193,4.7068
981,6.8894,2.8929,4.3731
982,6.9583,1.9348,3.7508
983,7.0272,2.8628,3.5817
984,7.0961,3.012,3.9073
985,7.165,3.6444,3.7374
986,7.2339,4.0652,3.4127
987,7.3028,6.1009,3.7901
988,7.3717,6.8732,4.6193
989,7.4406,7.2835,4.4571
990,7.5095,9.6239,4.5727
991,7.5784,6.5,4.25
992,7.6473,5.4065,5.2577
993,7.7162,5.3301,3.5797
994,7.7851,5.7437,3.5901
995,7.854,7.309,3.1937
996,7.9229,10.2115,3.7171
997,7.9918,12.007,5.7301
998,8.0607,12.128,6.9674
999,8.1296,17.9703,7.185
1000,8.1984,22.7202,7.3066
1001,8.2673,25.9105,8.0897
1002,8.3362,22.865,8.2504
1003,8.4051,17.5366,9.7786
1004,8.474,18.3344,9.9592
1005,8.5429,15.2471,11.1907
1006,8.6118,10.4932,10.2012
1007,8.6807,7.173,7.9094
1008,8.7496,6.9778,6.6217
1009,8.8185,9.8559,5.9104
1010,8.8874,9.0985,4.7613
1011,8.9563,8.6925,4.675
1012,9.0252,7.8147,5.1181
1013,9.0941,6.6166,5.5105
1014,9.163,6.8059,6.1372
1015,9.2319,7.1347,6.6981
1016,9.3008,7.2786,6.3988
1017,9.3697,5.6901,7.3252
1018,9.4385,7.0063,6.66
1019,9.5074,8.7793,7.788
1020,9.5763,13.7606,8.1738
1021,9.6452,23.1059,9.6385
1022,9.7141,28.2937,11.0382
1023,9.783,28.9469,11.6418
1024,9.8519,23.0938,11.4046
1025,9.9208,16.0852,11.925
1026,9.9897,13.5803,9.4484
1027,10.0586,12.1042,8.9764
1028,10.1275,8.8604,5.9151
1029,10.1964,5.4735,6.2196
1030,10.2653,6.3638,4.853
1031,10.3342,4.9477,4.5047
1032,10.4031,3.991,4.1875
1033,10.472,4.2662,3.9599
1034,10.5409,4.9979,3.4788
1035,10.6098,5.537,3.5605
1036,10.6786,3.2173,4.2663
1037,10.7475,1.6109,3.8138
1038,10.8164,2.1793,3.3704
1039,10.8853,2.1623,2.9275
1040,10.9542,2.0689,3.4055
1041,11.0231,2.3676,2.8365
1042,11.092,2.4148,3.3559
1043,11.1609,2.9934,3.2044
1044,11.2298,2.549,2.8333
1045,11.2987,3.1208,2.9807
1046,11.3676,5.2263,3.5343
1047,11.4365,4.7355,2.9555
1048,11.5054,6.298,3.9783
1049,11.5743,4.7026,4.1763
1050,11.6432,3.7576,4.9168
1051,11.7121,5.4983,4.7034
1052,11.781,6.5727,5.6725
1053,11.8499,6.3231,4.6439
1054,11.9187,5.1356,4.7164
1055,11.9876,4.323,4.7516
1056,12.0565,4.5937,4.9938
1057,12.1254,5.0139,5.0159
1058,12.1943,6.6266,6.0849
1059,12.2632,7.7621,5.9766
1060,12.3321,7.3124,5.4063
1061,12.401,8.4431,5.7038
1062,12.4699,6.7576,5.4395
1063,12.5388,4.0728,5.6781
1064,12.6077,3.4788,5.43
1065,12.6766,4.1628,4.8451
1066,12.7455,5.2328,5.6473
1067,12.8144,7.6423,4.8022
1068,12.8833,9.7645,4.9254
1069,12.9522,13.8502,4.4592
1070,13.0211,18.935,4.008
1071,13.09,23.4419,5.5224
1072,13.1588,22.0759,7.1764
1073,13.2277,20.8745,8.9218
1074,13.2966,17.1425,8.3989
1075,13.3655,13.8876,7.999
1076,13.4344,10.5455,7.1981
1077,13.5033,7.7355,7.024
1078,13.5722,8.7798,6.7116
1079,13.6411,10.5133,7.9978
1080,13.71,11.7496,8.4452
1081,13.7789,12.7784,8.8898
1082,13.8478,13.2077,7.9136
1083,13.9167,10.1834,7.0868
1084,13.9856,9.0709,5.6265
1085,14.0545,10.4876,4.9631
1086,14.1234,7.9091,5.8685
1087,14.1923,8.0799,5.7877
1088,14.2612,8.8748,6.0818
1089,14.3301,8.6718,5.9213
1090,14.3989,7.4841,5.275
1091,14.4678,7.5678,4.7524
1092,14.5367,5.9128,3.4181
1093,14.6056,4.3956,2.7543
1094,14.6745,3.8233,2.3123
1095,14.7434,4.6993,2.1141
1096,14.8123,3.229,1.8559
1097,14.8812,4.988,3.1594
1098,14.9501,6.1155,3.6595
1099,15.019,3.2824,3.1703
1100,15.0879,2.5362,2.5992
1101,15.1568,2.417,3.3228
1102,15.2257,2.6577,2.8912
1103,15.2946,2.8206,2.5195
1104,15.3635,2.5203,2.2812
1105,15.4324,2.5504,2.3566
1106,15.5013,3.621,2.4162
1107,15.5702,4.0677,2.0931
1108,15.6391,5.2678,2.1676
1109,15.7079,5.4675,2.6839
1110,15.7768,3.7604,3.8497
1111,15.8457,3.3784,3.6766
1112,15.9146,3.7915,4.8987
1113,15.9835,4.4623,4.6731
1114,16.0524,7.0094,2.8418
1115,16.1213,4.4787,3.6484
1116,16.1902,3.2753,4.2746
1117,16.2591,2.7988,4.1229
1118,16.328,2.4633,4.3623
1119,16.3969,2.5273,4.5178
1120,16.4658,1.8098,3.7064
1121,16.5347,2.4986,3.5271
1122,16.6036,2.1843,3.156
1123,16.6725,1.5988,2.831
1124,16.7414,4.2151,3.5209
1125,16.8103,2.8601,3.3794
1126,16.8792,4.2782,2.7107
1127,16.948,3.3303,2.9922
1128,17.0169,4.1593,3.9778
1129,17.0858,2.5713,4.5063
1130,17.1547,3.041,4.1513
1131,17.2236,6.0526,3.5104
1132,17.2925,8.3161,3.5713
1133,17.3614,11.5945,3.9587
1134,17.4303,12.2265,4.6965
1135,17.4992,13.953,4.5458
1136,17.5681,13.3398,5.1668
1137,17.637,15.1619,5.397
1138,17.7059,14.3084,4.9552
1139,17.7748,13.9876,4.6771
1140,17.8437,14.7999,6.0837
1141,17.9126,11.5466,5.8597
1142,17.9815,11.9408,5.957
1143,18.0504,14.9586,5.4878
1144,18.1193,15.136,5.3055
1145,18.1881,13.4435,6.0731
1146,18.257,13.0109,5.5565
1147,18.3259,14.6257,5.5806
1148,18.3948,15.6959,6.5315
1149,18.4637,19.2958,8.3468
1150,18.5326,22.9408,9.2703
1151,18.6015,23.7152,10.0211
1152,18.6704,24.2565,10.4393
1153,18.7393,24.056,9.8967
1154,18.8082,28.5592,8.3453
1155,18.8771,25.5213,8.1588
1156,18.946,20.6553,8.5407
1157,19.0149,15.9922,7.5324
1158,19.0838,11.871,7.839
1159,19.1527,14.0909,8.7887
1160,19.2216,21.0457,9.3386
1161,19.2905,24.4774,7.3241
1162,19.3594,24.8823,7.644
1163,19.4282,25.2236,6.7299
1164,19.4971,23.0175,6.3331
1165,19.566,16.2619,5.6632
1166,19.6349,13.7117,5.0133
1167,19.7038,12.0344,4.5969
1168,19.7727,14.5007,5.4966
1169,19.8416,13.9348,4.5872
1170,19.9105,17.6986,4.6728
1171,19.9794,18.5818,3.728
1172,20.0483,20.7384,4.1988
1173,20.1172,18.6872,4.7127
1174,20.1861,16.0576,4.7084
1175,20.255,16.4641,3.8249
1176,20.3239,16.3282,3.6362
1177,20.3928,11.5184,4.2032
1178,20.4617,12.4626,3.9917
1179,20.5306,16.7719,4.8214
1180,20.5995,22.258,5.6408
1181,20.6683,26.9475,5.8237
1182,20.7372,22.5758,5.4304
1183,20.8061,18.8784,5.5581
1184,20.875,17.1749,5.3081
1185,20.9439,15.0996,5.7081
1186,21.0128,13.3736,4.2209
1187,21.0817,11.2268,4.5119
1188,21.1506,11.758,5.0743
1189,21.2195,15.4124,3.9051
1190,21.2884,15.7201,4.4489
1191,21.3573,20.1777,4.6176
1192,21.4262,16.961,4.2718
1193,21.4951,17.1554,5.0165
1194,21.564,16.0993,6.6827
1195,21.6329,11.1699,5.2891
1196,21.7018,8.8818,4.9438
1197,21.7707,10.0584,5.0119
1198,21.8396,10.3153,4.3761
1199,21.9084,9.4236,3.9506
1200,21.9773,8.5857,4.0589
1201,22.0462,9.2104,4.2115
1202,22.1151,13.7808,3.4926
1203,22.184,15.1674,3.1793
1204,22.2529,18.3193,5.3588
1205,22.3218,19.1744,6.1361
1206,22.3907,15.8974,7.2039
1207,22.4596,12.7387,6.9652
1208,22.5285,10.8394,5.6113
1209,22.5974,10.628,4.5604
1210,22.6663,12.0936,3.8628
1211,22.7352,12.5292,3.8257
