,position (um),Ecad intensity,Abi intensity
0,0.0,21.315,3.50585
1,0.0689,21.4949,4.58403
2,0.1378,16.5816,4.44011
3,0.2067,15.3218,3.8416
4,0.2756,12.4464,3.15941
5,0.3445,14.0304,2.688
6,0.4134,9.9708,2.58069
7,0.4823,9.6886,2.40758
8,0.5512,6.3904,1.9719
9,0.6201,5.9512,1.65993
10,0.6889,7.2078,1.11458
11,0.7578,5.9887,1.12941
12,0.8267,7.2324,1.15865
13,0.8956,6.6074,0.43754
14,0.9645,6.6861,0.44318
15,1.0334,8.7402,0.82309
16,1.1023,6.4388,0.6631
17,1.1712,6.6906,0.88486
18,1.2401,7.4562,1.60808
19,1.309,7.0871,1.16942
20,1.3779,7.4218,1.17744
21,1.4468,11.0262,1.49406
22,1.5157,12.9151,1.66625
23,1.5846,9.7741,1.89443
24,1.6535,10.6743,2.65237
25,1.7224,9.4409,3.62589
26,1.7913,8.0536,3.39528
27,1.8602,9.0258,4.01259
28,1.929,10.4973,3.30838
29,1.9979,10.9818,2.87562
30,2.0668,8.1713,1.91763
31,2.1357,7.4591,1.34037
32,2.2046,7.7322,1.37797
33,2.2735,7.116,0.92942
34,2.3424,5.9008,0.63322
35,2.4113,6.7698,0.979
36,2.4802,6.5712,0.60799
37,2.5491,7.1408,0.53952
38,2.618,6.6067,0.82449
39,2.6869,8.5644,1.21825
40,2.7558,10.1918,1.26068
41,2.8247,9.9447,0.71724
42,2.8936,8.5292,1.07193
43,2.9625,9.0505,1.25352
44,3.0314,9.3527,0.78687
45,3.1003,9.7304,1.13585
46,3.1691,8.9099,1.82907
47,3.238,9.4735,1.24574
48,3.3069,11.1909,1.52852
49,3.3758,13.6411,1.8341
50,3.4447,16.1849,4.29367
51,3.5136,18.832,6.53043
52,3.5825,20.3773,4.15294
53,3.6514,20.3066,2.35287
54,3.7203,19.2719,1.80632
55,3.7892,18.0422,1.25067
56,3.8581,14.0769,1.1941
57,3.927,15.4997,1.27811
