,position (um),Ecad intensity,Abi intensity
0,0.0,18.2921,3.23994
1,0.0689,24.7654,6.09148
2,0.1378,26.6453,8.11087
3,0.2067,28.3299,8.77952
4,0.2756,25.02,7.17494
5,0.3445,23.6259,5.48009
6,0.4134,23.4159,3.55652
7,0.4823,18.1805,3.09916
8,0.5512,17.7538,3.20181
9,0.6201,17.0412,3.64942
10,0.6889,14.2633,4.14284
11,0.7578,13.2738,4.33166
12,0.8267,13.9925,3.28915
13,0.8956,16.9582,1.95756
14,0.9645,17.2226,1.9045
15,1.0334,15.9842,1.52547
16,1.1023,15.8451,1.39398
17,1.1712,15.2285,1.73609
18,1.2401,16.8247,2.17898
19,1.309,19.9048,2.52234
20,1.3779,20.0654,1.79754
21,1.4468,20.5126,2.21613
22,1.5157,17.2774,1.49795
23,1.5846,16.3421,1.4237
24,1.6535,19.1286,1.51272
25,1.7224,23.2885,1.37292
26,1.7913,22.2784,1.49412
27,1.8602,17.4669,1.22867
28,1.929,14.9662,1.70694
29,1.9979,13.5596,1.52765
30,2.0668,14.4898,1.77837
31,2.1357,14.5804,1.25708
32,2.2046,14.3453,2.0847
33,2.2735,15.035,2.32719
34,2.3424,17.8979,2.40081
35,2.4113,21.2101,2.80787
36,2.4802,18.3209,3.15551
37,2.5491,14.9015,2.96872
38,2.618,14.2151,1.95444
39,2.6869,12.8833,1.71233
40,2.7558,17.1918,2.14409
41,2.8247,19.6442,2.39001
42,2.8936,22.438,2.21831
43,2.9625,18.2876,2.55376
44,3.0314,13.8865,2.56596
45,3.1003,15.9086,3.54936
46,3.1691,15.0674,2.78044
47,3.238,15.264,2.12633
48,3.3069,14.4016,2.26303
49,3.3758,16.9054,2.57097
50,3.4447,17.1168,3.09796
51,3.5136,16.6298,2.67013
52,3.5825,15.4893,2.52471
53,3.6514,13.8883,2.5953
54,3.7203,16.3924,2.23475
55,3.7892,20.7259,2.26232
56,3.8581,20.9653,2.21325
57,3.927,22.363,1.66127
58,3.9959,14.2075,1.84064
59,4.0648,9.5871,1.52475
60,4.1337,12.8185,1.00198
61,4.2026,17.1834,0.9037
62,4.2715,18.2561,0.98427
63,4.3404,13.487,0.60111
64,4.4092,10.6188,0.76244
65,4.4781,9.7991,0.80471
66,4.547,9.1139,0.99598
67,4.6159,7.5978,1.02924
68,4.6848,9.0504,0.70588
69,4.7537,7.7657,1.0031
70,4.8226,8.8758,1.57974
71,4.8915,11.3412,1.46244
72,4.9604,12.4317,2.42133
73,5.0293,14.3201,2.69727
74,5.0982,17.486,2.15999
75,5.1671,18.068,3.47262
76,5.236,21.4211,2.80934
77,5.3049,27.4002,2.04159
78,5.3738,24.2937,1.64158
79,5.4427,25.173,2.30358
80,5.5116,27.0294,2.25501
81,5.5805,25.8783,1.96727
82,5.6493,19.5812,2.45334
83,5.7182,18.5883,2.28978
84,5.7871,16.4057,2.674
85,5.856,17.516,3.90433
86,5.9249,17.084,4.52892
87,5.9938,15.0233,4.41951
88,6.0627,12.5376,4.08842
89,6.1316,13.88,3.12259
90,6.2005,12.4904,2.17776
91,6.2694,14.2216,1.59178
92,6.3383,14.6095,1.00083
93,6.4072,15.0277,1.10784
94,6.4761,11.7372,1.62812
95,6.545,11.6366,1.53382
96,6.6139,10.3125,1.18309
97,6.6828,10.007,1.22688
98,6.7517,9.658,1.4425
99,6.8206,7.8284,1.22248
100,6.8894,9.1227,1.5821
101,6.9583,6.944,1.57944
102,7.0272,8.3882,1.85576
103,7.0961,13.1039,1.82606
104,7.165,11.1245,0.59735
105,7.2339,9.8484,1.12694
106,7.3028,11.3094,1.74888
107,7.3717,13.0754,1.25825
108,7.4406,12.7496,1.38802
109,7.5095,11.0954,1.8538
110,7.5784,14.3884,2.19394
111,7.6473,16.77,2.46549
112,7.7162,19.9181,2.32078
113,7.7851,15.7929,1.889
114,7.854,14.5739,2.36731
115,7.9229,17.0992,2.31701
116,7.9918,14.4116,1.87238
117,8.0607,17.0521,1.39328
118,8.1296,17.3784,1.30547
119,8.1984,16.7675,1.31272
120,8.2673,14.4542,1.18262
121,8.3362,12.846,1.22993
122,8.4051,12.3445,1.33683
123,8.474,14.1959,1.21254
124,8.5429,15.599,1.19001
125,8.6118,15.2575,0.89058
126,8.6807,14.3792,1.27819
127,8.7496,14.5255,1.27848
128,8.8185,12.9178,1.01227
129,8.8874,13.1247,1.12839
130,8.9563,13.6257,0.94433
131,9.0252,13.8203,0.55347
132,9.0941,15.127,1.70091
133,9.163,14.4599,0.90379
134,9.2319,15.8403,1.41403
135,9.3008,14.2592,1.13744
136,9.3697,13.2639,0.66517
137,9.4385,14.0457,0.61529
138,9.5074,12.2304,0.66498
139,9.5763,11.9156,1.24944
140,9.6452,11.6037,1.10748
141,9.7141,10.81,1.16193
142,9.783,8.0279,1.31976
143,9.8519,10.8699,1.40239
144,9.9208,10.1219,1.83116
145,9.9897,11.7271,1.88392
146,10.0586,12.394,1.76713
147,10.1275,12.5577,1.63251
148,10.1964,12.7979,1.21358
149,10.2653,15.1627,1.05543
150,10.3342,19.056,1.70938
151,10.4031,19.4285,1.54705
152,10.472,21.5056,2.3959
153,10.5409,19.9049,3.00562
154,10.6098,20.8212,2.97664
155,10.6786,18.9421,2.44095
156,10.7475,14.9151,3.09572
157,10.8164,15.6039,2.87843
158,10.8853,16.9496,1.97479
159,10.9542,12.6825,2.1502
160,11.0231,11.9162,2.08851
161,11.092,12.4214,2.34616
162,11.1609,10.7212,2.78846
163,11.2298,14.651,1.9013
164,11.2987,13.5467,2.31649
165,11.3676,9.3987,2.16437
166,11.4365,10.0918,1.33332
167,11.5054,10.415,1.41829
168,11.5743,11.7592,1.92588
169,11.6432,8.8581,2.15757
170,11.7121,11.2704,2.22948
171,11.781,13.1461,2.26525
172,11.8499,13.1074,1.65026
173,11.9187,16.5019,1.9608
174,11.9876,18.7283,1.38663
175,12.0565,16.1158,0.99864
176,12.1254,14.2312,0.90077
177,12.1943,13.6687,1.08112
178,12.2632,11.0726,0.66493
179,12.3321,9.0143,0.60757
180,12.401,10.4666,1.14958
181,12.4699,11.8057,1.43506
182,12.5388,11.6236,1.65966
183,12.6077,11.2153,1.4875
184,12.6766,14.3297,2.25835
185,12.7455,12.978,2.25593
186,12.8144,12.6572,2.51673
187,12.8833,13.0597,2.17472
188,12.9522,14.4529,1.80624
189,13.0211,9.0551,2.68138
190,13.09,7.9432,2.67856
191,13.1588,9.2741,1.76963
192,13.2277,10.8076,1.56648
193,13.2966,9.9826,1.36424
194,13.3655,10.5845,0.79214
195,13.4344,12.4177,0.59041
196,13.5033,12.2401,1.82766
197,13.5722,14.4876,1.63273
198,13.6411,12.4259,2.61369
199,13.71,13.4815,2.28417
200,13.7789,13.3071,2.28816
201,13.8478,11.3282,2.83132
202,13.9167,14.1322,3.26884
203,13.9856,14.0996,3.18708
204,14.0545,19.765,2.82963
205,14.1234,23.9824,2.38109
206,14.1923,25.1549,2.88623
207,14.2612,25.8698,4.37461
208,14.3301,22.3245,5.02761
209,14.3989,23.4465,5.00779
210,14.4678,20.697,5.05234
211,14.5367,18.4372,4.65391
212,14.6056,18.2689,4.52354
213,14.6745,18.0935,3.49254
214,14.7434,16.5594,3.03456
215,14.8123,16.6153,2.41076
216,14.8812,16.1568,2.37504
217,14.9501,19.6506,1.71829
218,15.019,21.0635,2.11219
219,15.0879,22.0194,2.00791
220,15.1568,22.1522,2.04469
221,15.2257,21.3238,1.41057
222,15.2946,18.3657,1.50109
223,15.3635,16.0935,1.44844
224,15.4324,13.6397,1.51879
225,15.5013,10.748,1.88
226,15.5702,10.2488,1.55104
227,15.6391,11.7386,2.00156
228,15.7079,14.122,1.83573
229,15.7768,16.7433,1.39471
230,15.8457,16.4599,1.24287
231,15.9146,17.1098,1.284
232,15.9835,11.7807,1.5667
233,16.0524,12.4453,1.42446
234,16.1213,12.7398,1.20302
235,16.1902,12.1634,1.62575
236,16.2591,13.1758,2.30765
237,16.328,16.9424,1.90094
238,16.3969,18.1289,1.60497
239,16.4658,17.4522,2.67351
240,16.5347,18.1901,1.73988
241,16.6036,21.2376,1.85011
242,16.6725,19.5482,2.25296
243,16.7414,17.0919,2.86238
244,16.8103,18.4718,2.24492
245,16.8792,23.0286,2.69839
246,16.948,23.6495,2.11115
247,17.0169,25.5181,2.84922
248,17.0858,22.2624,2.19123
249,17.1547,15.7966,2.4382
250,17.2236,14.3013,1.13847
251,17.2925,11.4295,1.26623
252,17.3614,9.6351,1.03713
253,17.4303,9.1773,1.16617
254,17.4992,10.3525,1.02256
255,17.5681,11.3756,1.08423
256,17.637,11.9903,1.43201
257,17.7059,10.4341,1.42298
258,17.7748,11.4113,1.32754
259,17.8437,13.4355,0.98969
260,17.9126,12.584,1.18596
261,17.9815,11.2419,1.39525
262,18.0504,11.1962,1.41631
263,18.1193,10.0027,1.97471
264,18.1881,10.6986,2.42033
265,18.257,15.2884,2.47307
266,18.3259,18.4158,2.61845
267,18.3948,17.2321,3.20251
268,18.4637,14.675,2.82002
269,18.5326,13.4064,2.01237
270,18.6015,11.4957,2.63164
271,18.6704,11.3039,2.28328
272,18.7393,10.737,1.66238
273,18.8082,15.1922,1.6688
274,18.8771,17.6299,1.44504
275,18.946,15.1113,1.30741
276,19.0149,15.1117,1.78204
277,19.0838,13.7165,1.80978
278,19.1527,13.4633,1.54109
279,19.2216,11.4278,1.34667
280,19.2905,11.7461,1.50183
281,19.3594,11.4098,1.53138
282,19.4282,11.2208,2.35878
283,19.4971,16.009,2.03018
284,19.566,18.1926,1.56365
285,19.6349,18.2086,1.39072
286,19.7038,20.331,1.75109
287,19.7727,17.8699,1.77262
288,19.8416,14.879,2.18578
289,19.9105,13.6392,2.55446
290,19.9794,15.3283,3.56057
291,20.0483,17.5729,4.5333
292,20.1172,20.7334,4.62776
293,20.1861,24.9426,5.64433
294,20.255,25.6117,6.7187
295,20.3239,25.5055,6.89034
296,20.3928,24.0948,7.01267
297,20.4617,22.836,5.99025
298,20.5306,24.5357,4.95258
299,20.5995,27.5807,4.89435
300,20.6683,24.1597,4.57872
301,20.7372,20.2627,5.11417
302,20.8061,20.57,4.16972
303,20.875,21.1152,3.48929
304,20.9439,20.4532,2.43731
305,21.0128,21.8255,2.57831
306,21.0817,17.3478,2.62906
307,21.1506,12.4266,1.79946
308,21.2195,11.8199,1.6244
309,21.2884,7.9259,1.44179
310,21.3573,6.7708,0.90689
311,21.4262,6.2387,0.68153
312,21.4951,5.1216,0.65464
313,21.564,4.8291,0.81628
314,21.6329,4.9039,0.63883
315,21.7018,4.4036,0.87262
316,21.7707,2.6967,0.93972
317,21.8396,1.4114,1.02098
318,21.9084,2.3289,1.02897
319,21.9773,3.06,0.58211
320,22.0462,4.3046,0.41387
321,22.1151,4.3673,0.72772
322,22.184,4.3067,0.96201
323,22.2529,6.6955,0.87718
324,22.3218,6.5237,0.64401
325,22.3907,6.939,0.83671
326,22.4596,5.7092,0.62189
327,22.5285,5.6554,0.46961
328,22.5974,6.2519,0.59302
329,22.6663,4.8756,0.6791
330,22.7352,6.0403,0.80778
331,22.8041,6.0813,0.98504
332,22.873,6.4621,0.80017
333,22.9419,7.0633,0.5119
334,23.0108,7.7711,0.66829
335,23.0797,6.9637,0.5843
336,23.1486,5.5734,0.55879
337,23.2174,3.737,0.3833
338,23.2863,4.4497,0.68957
339,23.3552,7.1138,1.64503
340,23.4241,8.1523,1.2168
341,23.493,8.8266,1.12643
342,23.5619,11.0981,0.58936
343,23.6308,13.2619,0.86973
344,23.6997,9.4536,0.98926
345,23.7686,9.6036,0.45126
346,23.8375,7.105,0.6232
347,23.9064,5.8803,0.45418
348,23.9753,4.6151,0.81205
349,24.0442,4.1889,0.72255
350,24.1131,3.3262,0.84433
351,24.182,4.6994,0.90654
352,24.2509,6.0239,1.11392
353,24.3198,7.2443,0.89222
354,24.3887,5.5085,0.63851
355,24.4575,3.8454,0.60148
356,24.5264,3.6255,0.7721
357,24.5953,5.3331,0.6258
358,24.6642,6.5295,0.27304
359,24.7331,6.4289,0.95125
360,24.802,7.9426,0.81221
361,24.8709,7.2958,1.57196
362,24.9398,7.7239,1.18093
363,25.0087,8.9411,1.18083
364,25.0776,8.7979,1.4022
365,25.1465,8.8002,1.64105
366,25.2154,9.25,1.95431
367,25.2843,10.4106,2.01112
368,25.3532,13.229,1.50432
369,25.4221,11.0699,2.14937
370,25.491,11.9898,1.75357
371,25.5599,14.1499,1.12069
372,25.6288,17.8673,1.55955
373,25.6976,21.4797,1.69097
374,25.7665,22.7559,1.75866
375,25.8354,22.0729,1.36282
376,25.9043,22.309,1.67405
377,25.9732,21.8868,2.52012
378,26.0421,20.4492,3.15992
379,26.111,19.3107,2.76577
380,26.1799,16.6743,3.38644
381,26.2488,17.9361,2.97083
382,26.3177,20.0013,3.16322
383,26.3866,22.8681,2.8213
384,26.4555,27.4048,4.07335
385,26.5244,25.2277,5.20734
386,26.5933,25.6301,4.79121
387,26.6622,32.0954,3.27338
388,26.7311,31.2024,2.6054
389,26.8,33.6362,2.49651
390,26.8689,34.3508,3.9461
391,26.9377,36.1048,4.86824
392,27.0066,37.8669,4.67003
393,27.0755,36.755,6.07543
394,27.1444,32.5271,7.25989
395,27.2133,27.8846,7.11402
396,27.2822,23.9993,6.08402
397,27.3511,21.1498,4.80888
398,27.42,22.1608,3.50979
399,27.4889,23.0436,2.65114
400,27.5578,23.3268,2.38023
401,27.6267,23.9433,1.51802
402,27.6956,25.7282,1.3545
403,27.7645,24.2718,1.61959
404,27.8334,22.8547,1.35678
405,27.9023,21.2389,1.78187
406,27.9712,19.1004,1.96924
407,28.0401,16.6373,1.40745
408,28.109,14.7918,1.48955
409,28.1778,12.5412,2.43229
410,28.2467,10.4635,1.75821
411,28.3156,10.9011,2.04806
412,28.3845,11.9853,2.40601
413,28.4534,10.7798,1.7155
414,28.5223,8.6917,0.99668
415,28.5912,10.0063,0.74931
416,28.6601,10.6478,0.69492
417,28.729,7.6581,0.73441
418,28.7979,8.4534,1.59039
419,28.8668,9.1282,2.1525
420,28.9357,8.8503,2.13277
421,29.0046,8.9518,2.65218
422,29.0735,6.7429,2.08164
423,29.1424,6.3481,1.12531
424,29.2113,7.8622,0.73027
425,29.2802,6.4493,0.76469
426,29.3491,8.1587,0.97058
427,29.4179,7.6691,1.04883
428,29.4868,5.483,0.79018
429,29.5557,7.2234,0.85863
430,29.6246,6.0074,0.44673
431,29.6935,5.2513,0.52325
432,29.7624,4.5819,0.58278
433,29.8313,5.7028,0.80463
434,29.9002,5.7713,1.38739
435,29.9691,6.6905,1.93832
436,30.038,6.4543,1.85085
437,30.1069,7.3883,1.86582
438,30.1758,10.5872,2.10672
439,30.2447,10.8519,1.20933
440,30.3136,12.6968,1.77513
441,30.3825,14.6804,1.52093
442,30.4514,18.1472,1.94608
443,30.5203,20.3589,2.75517
444,30.5892,19.9785,2.21769
445,30.6581,19.0191,2.20678
446,30.7269,15.3763,2.29883
447,30.7958,16.3378,2.93386
448,30.8647,17.8161,2.13959
449,30.9336,17.7345,1.7269
450,31.0025,16.3089,1.4404
451,31.0714,16.0133,1.14784
452,31.1403,15.0723,0.82869
453,31.2092,14.9276,1.06967
454,31.2781,14.9992,0.7962
455,31.347,15.7244,0.70529
456,31.4159,15.1599,1.12072
457,31.4848,17.6155,1.13595
458,31.5537,15.5133,1.51152
459,31.6226,14.1245,2.52951
460,31.6915,13.2221,3.46388
