,position (um),Ecad intensity,Abi intensity
189,13.0211,10.6238,2.0787
190,13.09,8.2931,1.70432
191,13.1588,8.3579,1.30846
192,13.2277,6.6366,1.04135
193,13.2966,5.7237,0.68152
194,13.3655,6.5756,0.69417
195,13.4344,7.2082,0.68949
196,13.5033,7.008,0.8317
197,13.5722,7.6933,0.53488
198,13.6411,9.4987,0.67009
199,13.71,9.8472,0.41211
200,13.7789,9.3016,0.62364
201,13.8478,7.921,0.51404
202,13.9167,6.963,0.75328
203,13.9856,6.8626,0.81887
204,14.0545,6.3401,0.66218
205,14.1234,6.058,0.51513
206,14.1923,6.8605,0.37564
207,14.2612,5.7339,0.56089
208,14.3301,6.1814,0.71868
209,14.3989,5.2721,0.78534
210,14.4678,5.2513,0.65413
211,14.5367,5.5916,0.45756
212,14.6056,6.4343,0.45166
213,14.6745,7.3632,0.52768
214,14.7434,7.32,0.25146
215,14.8123,7.5748,0.54669
216,14.8812,4.4884,0.42098
217,14.9501,6.5523,0.38295
218,15.019,6.7692,0.59337
219,15.0879,6.6975,0.61373
220,15.1568,6.9121,0.84333
221,15.2257,7.8423,0.73319
222,15.2946,6.7531,0.29632
223,15.3635,7.0953,0.57443
224,15.4324,6.9273,0.53009
225,15.5013,6.887,0.83666
226,15.5702,6.0792,0.73346
227,15.6391,5.901,0.83116
228,15.7079,5.01,0.86795
229,15.7768,7.2279,0.78863
230,15.8457,7.4785,0.91234
231,15.9146,6.799,0.6345
232,15.9835,6.2621,0.93978
233,16.0524,7.7992,0.76932
234,16.1213,6.9641,0.79605
235,16.1902,8.7062,0.47397
236,16.2591,9.3482,0.39881
237,16.328,9.2231,0.48634
238,16.3969,11.0548,0.66714
239,16.4658,12.3412,0.77564
240,16.5347,15.5997,1.21616
241,16.6036,19.4694,1.13076
242,16.6725,21.0781,2.66274
243,16.7414,22.1595,3.06483
244,16.8103,21.4205,3.80974
245,16.8792,17.7708,3.56444
246,16.948,16.6409,2.95204
247,17.0169,16.1875,1.50817
248,17.0858,11.3884,1.15921
249,17.1547,10.879,1.04922
250,17.2236,9.3554,1.09894
251,17.2925,8.0393,0.75287
252,17.3614,8.8042,0.69337
253,17.4303,6.0816,1.06211
254,17.4992,6.1267,1.47104
255,17.5681,7.7134,1.0452
256,17.637,6.839,1.6655
257,17.7059,5.6054,1.62165
258,17.7748,7.3525,1.50889
259,17.8437,8.4045,1.44502
260,17.9126,10.2438,1.53753
261,17.9815,12.0402,1.86456
262,18.0504,13.2197,2.40342
263,18.1193,11.0689,2.18532
264,18.1881,9.7908,2.73859
265,18.257,9.3965,2.76982
266,18.3259,10.118,2.79994
267,18.3948,10.1626,2.73433
268,18.4637,14.4162,2.12649
269,18.5326,17.0611,2.56518
270,18.6015,18.1083,1.91513
271,18.6704,19.0422,3.21623
272,18.7393,15.9645,4.09061
273,18.8082,14.5178,5.18041
274,18.8771,15.1649,4.87297
275,18.946,13.7661,4.45222
276,19.0149,12.465,2.58282
277,19.0838,13.2145,1.93952
278,19.1527,15.0216,1.66492
279,19.2216,13.6471,1.28651
280,19.2905,10.89,0.91399
281,19.3594,9.5365,0.89123
282,19.4282,6.1434,0.90894
283,19.4971,7.0544,0.56755
284,19.566,6.3178,0.63904
285,19.6349,6.3848,0.75427
286,19.7038,7.2639,0.73373
287,19.7727,7.0379,0.94514
288,19.8416,6.4096,0.82915
289,19.9105,5.0646,0.83831
290,19.9794,3.8098,0.81036
291,20.0483,3.4446,0.64176
292,20.1172,5.2568,0.82637
293,20.1861,4.4161,0.74179
294,20.255,3.1076,1.17086
295,20.3239,3.5083,0.47975
296,20.3928,2.4556,0.57457
297,20.4617,2.7084,0.78637
298,20.5306,3.7954,0.86961
299,20.5995,3.9909,0.97425
300,20.6683,4.3871,1.3198
301,20.7372,6.8939,2.08067
302,20.8061,8.914,2.85982
303,20.875,9.7228,3.62372
304,20.9439,10.9134,4.35405
305,21.0128,12.1875,3.84474
306,21.0817,10.7543,2.81749
307,21.1506,7.3867,2.41024
308,21.2195,5.0487,1.95621
309,21.2884,4.7841,1.66358
310,21.3573,4.3191,1.74795
311,21.4262,4.8076,2.05155
312,21.4951,5.482,1.92066
313,21.564,4.9182,1.66351
314,21.6329,7.7749,1.86996
315,21.7018,10.7723,2.88556
316,21.7707,11.3939,3.15212
317,21.8396,12.4165,3.90261
318,21.9084,17.4088,4.68331
319,21.9773,18.1745,3.71795
320,22.0462,16.7717,3.38841
321,22.1151,16.0876,2.87702
322,22.184,18.4748,2.0525
323,22.2529,16.6459,1.76256
324,22.3218,18.1829,1.3362
325,22.3907,19.2222,2.08458
326,22.4596,19.3399,1.80986
327,22.5285,19.2145,2.09928
328,22.5974,17.3552,1.86049
329,22.6663,17.434,1.83107
330,22.7352,18.8521,1.65901
