,condition,sample_num,sample,mig_speed_um_per_min,mig_dir_rad,mig_dir_deg
0,TJ_larRNAi_sema5cK175,01,TJ_larRNAi_sema5cK175_01,0.0007786117009258816,-0.8070915493829636,-46.242939460318276
1,TJ_larRNAi_sema5cK175,02,TJ_larRNAi_sema5cK175_02,0.01244592318100606,1.5286077953216808,87.58277520272989
2,TJ_larRNAi_sema5cK175,03,TJ_larRNAi_sema5cK175_03,0.02237418982691743,2.0358868884296437,116.64772627304009
3,TJ_larRNAi_sema5cK175,04,TJ_larRNAi_sema5cK175_04,0.01768061273493454,-0.5465844621568122,-31.3169828290134
4,TJ_larRNAi_sema5cK175,05,TJ_larRNAi_sema5cK175_05,0.034106773952874286,1.38871765139923,79.56766036049581
5,TJ_larRNAi_sema5cK175,06,TJ_larRNAi_sema5cK175_06,0.01614083893272396,-3.0762407837633363,-176.25561367565567
6,ck666,01,ck666_01,0.03116741025835351,-1.8024779017513217,-103.27437643594699
7,ck666,02,ck666_02,0.035251086097444886,-2.896469571430709,-165.95548193104597
8,ck666,03,ck666_03,0.018940168097347995,-0.7961351889179463,-45.61518624684879
9,ck666,04,ck666_04,0.049419434855470144,2.6466907321300153,151.64420862743978
10,ck666,05,ck666_05,0.03188189641601764,-1.135118161584725,-65.03747990745376
11,ck666,06,ck666_06,0.024820720471060383,0.5131951334408692,29.4039152128149
12,fat2N1032,01,fat2N1032_01,0.024773034532097307,2.89418088689156,165.82434996631588
13,fat2N1032,02,fat2N1032_02,0.005703926912658618,2.378013806812978,136.25015475422194
14,fat2N1032,03,fat2N1032_03,0.007700875279286653,3.073913192221627,176.1222525038854
15,fat2N1032,04,fat2N1032_04,0.01903114531572227,2.38587090503846,136.70033332176178
16,fat2N1032,05,fat2N1032_05,0.005057203594896566,-2.618168274179648,-150.0099921655444
17,fat2N1032,06,fat2N1032_06,0.034682629679006184,-2.1132408246822707,-121.07978034903964
18,fat2N1032,07,fat2N1032_07,0.02182403633395909,-2.311584982425145,-132.4440634787834
19,fat2N1032,08,fat2N1032_08,0.02269364345080379,0.1763623648867471,10.104819172956834
20,fat2N1032,09,fat2N1032_09,0.06670835868304809,1.7285183702261449,99.0368074247896
21,fat2N1032,10,fat2N1032_10,0.03093255912466746,0.13380621221168507,7.666531232361411
22,fat2dICD,01,fat2dICD_01,0.06737479287544929,1.9009101004335183,108.91412598863003
23,fat2dICD,02,fat2dICD_02,0.07524954690047296,1.9815591713143594,113.53497737175366
24,fat2dICD,03,fat2dICD_03,0.09590817229118834,1.4891125788145003,85.31986598591304
25,fat2dICD,04,fat2dICD_04,0.07792484971551597,1.6216894518222569,92.91596127029936
26,fat2dICD,05,fat2dICD_05,0.027825925503056324,-2.1645205097861324,-124.01788988025079
27,lar132bola1,01,lar132bola1_01,0.2436615366164595,1.5816071406372532,90.61941400626864
28,lar132bola1,02,lar132bola1_02,0.06444440587510207,1.7085756334978282,97.89417277831652
29,lar132bola1,03,lar132bola1_03,0.17421486531723335,1.5701565358476473,89.96334267895193
30,lar132bola1,04,lar132bola1_04,0.3262270945698016,1.4424337931002458,82.64536857169068
31,lar132bola1,05,lar132bola1_05,0.20960048245758564,1.4783106304724905,84.70095993539753
32,lar132bola1,06,lar132bola1_06,0.2237593573948452,1.6637838074824014,95.32779019094828
33,sema5cK175,01,sema5cK175_01,0.16051379390379808,1.846460432528509,105.79438982178407
34,sema5cK175,02,sema5cK175_02,0.02644048852418823,1.7592976575298747,100.80033068371391
35,sema5cK175,03,sema5cK175_03,0.2794696225536072,1.5900185694797193,91.10135337861657
36,sema5cK175,04,sema5cK175_04,0.30871481423449865,1.670533024364219,95.71449183329487
37,sema5cK175,05,sema5cK175_05,0.27534283669194143,1.6134530997542735,92.44405305822008
38,sema5cK175,06,sema5cK175_06,0.028348830256785876,1.493492048119201,85.57079109357949
39,sema5cK175,07,sema5cK175_07,0.058318148326574906,-0.8014602360937673,-45.920288975731395
40,sema5cK175,08,sema5cK175_08,0.09344127368744724,1.451892889760558,83.18733488833287
41,sema5cK175,09,sema5cK175_09,0.04545318335042543,2.9257347212026854,167.63225149979846
42,w1118,01,w1118_01,0.38568770863503155,1.5195607203267587,87.06441598858252
43,w1118,02,w1118_02,0.7538007495221487,1.5553917647661053,89.11738361050277
44,w1118,03,w1118_03,0.7911698560527081,1.7506947649897497,100.30742124956018
45,w1118,04,w1118_04,0.46557988291558616,1.4762839068886682,84.58483722780488
46,w1118,05,w1118_05,0.3768292070130885,1.5407338613731607,88.27754760957656
47,w1118,06,w1118_06,0.41284804627625155,1.5623065327224481,89.51357063071352
48,w1118,07,w1118_07,0.5491599548983211,1.7064521186536004,97.77250434000888
