,condition,sample_num,sample,mig_speed_um_per_min,mig_dir_rad,mig_dir_deg
0,TJ_larRNAi_sema5cK175,01,TJ_larRNAi_sema5cK175_01,0.0007786117009258816,-0.8070915493829636,-46.242939460318276
1,ck666,01,ck666_01,0.03116741025835351,-1.8024779017513217,-103.27437643594699
2,fat2N1032,01,fat2N1032_01,0.024773034532097307,2.89418088689156,165.82434996631588
3,lar132bola1,01,lar132bola1_01,0.2436615366164595,1.5816071406372532,90.61941400626864
4,sema5cK175,01,sema5cK175_01,0.16051379390379808,1.846460432528509,105.79438982178407
5,w1118,01,w1118_01,0.38568770863503155,1.5195607203267587,87.06441598858252
