,cell,centroid_row,centroid_col,frame
0,6,209.46255394770247,389.5938055343996,0
1,13,241.67549668874173,350.60299756012546,0
2,15,245.85045317220545,449.4010574018127,0
3,16,257.9011164274322,502.74071542492595,0
4,18,259.24342527261064,299.1122514432328,0
5,20,264.25012212994625,553.6468001954079,0
6,21,265.8623188405797,412.6911231884058,0
7,22,276.65212355212356,597.2671814671814,0
8,23,275.386379192334,166.56160164271049,0
9,24,281.7469967236986,238.2147797597379,0
10,25,289.80878243512973,640.4031936127744,0
11,27,294.16641528406234,383.87330316742083,0
12,28,309.05481927710844,344.21626506024097,0
13,29,308.07583716349313,474.1467498358503,0
14,30,314.12370790263424,292.5741913971324,0
15,32,320.9336993243243,424.00464527027026,0
16,33,317.36614699331847,208.19064587973273,0
17,34,318.5712143928036,544.4755622188906,0
18,36,322.84114162627895,162.255788906839,0
19,37,333.98228408731416,607.5472951597595,0
20,39,352.8113485630066,119.85187914517317,0
21,40,335.08251473477407,256.841519318926,0
22,41,357.8072933039925,389.6221314052185,0
23,42,354.8438783894823,469.19145439605586,0
24,43,363.1785379568885,515.925023430178,0
25,44,376.4024928589977,217.58712022851208,0
26,45,374.9400850405876,347.9358330112099,0
27,46,362.97981906750175,173.69171885873348,0
28,47,375.41142070863435,304.14000687994496,0
29,48,371.64366883116884,567.580762987013,0
30,50,375.0177559501322,676.7181715149226,0
31,51,376.17959468902865,433.22431865828094,0
32,52,379.0283261802575,623.0733905579399,0
33,53,405.7185964912281,267.09286549707605,0
34,55,417.13623264343727,132.0319622740372,0
35,56,406.99746273390423,481.5093561687282,0
36,57,425.1879654453381,184.94965743223116,0
37,58,415.81929233361416,535.6103622577928,0
38,59,420.28530259365994,707.1697406340057,0
39,60,410.4192634560907,405.6718602455146,0
40,61,420.55001767408976,585.6620714033228,0
41,62,433.23581157775254,639.0961975028376,0
42,63,431.5938665561542,350.86241193535017,0
43,64,435.0713826366559,310.075884244373,0
44,66,452.0443155452436,454.838283062645,0
45,67,441.14592274678114,233.4964234620887,0
46,69,449.0897435897436,400.4824561403509,0
47,70,464.0056107034959,516.9469141130772,0
48,71,471.0358683926645,702.6998381877023,0
49,72,469.97183576518495,577.3600271462504,0
50,74,476.56195014662757,166.07221407624633,0
51,75,464.07000946073794,269.7105014191107,0
52,76,476.1586378737542,370.3405315614618,0
53,77,479.4539877300613,313.3672217353199,0
54,78,488.70586350528674,227.51329702018583,0
55,79,488.3159851301115,642.7404528556945,0
56,80,496.3799784714747,426.92895586652315,0
57,82,521.2097099113618,490.3527397260274,0
58,83,508.02559934985777,543.6566436407965,0
59,84,528.183887525106,274.7473778174515,0
60,85,519.9520547945206,356.91695205479454,0
61,88,521.686817188638,595.830298616169,0
62,89,535.0508069336521,404.7304243873281,0
63,91,536.0595454545454,322.67045454545456,0
64,93,554.4476898566118,458.57567711099307,0
65,95,558.5176223040505,558.8695423461336,0
66,97,583.0553037171351,376.1468721668178,0
67,98,577.4487756121939,512.9005497251375,0
68,99,583.4374049670553,316.6153066396351,0
69,100,583.1165105386417,434.97131147540983,0
0,13,242.54017699115045,349.9886725663717,1
1,15,248.31201848998458,449.1097842835131,1
2,16,258.37983077978504,502.7363366110222,1
3,18,259.1824083089906,299.0038948393379,1
4,20,266.587552742616,552.8676160337553,1
5,21,266.79142300194934,412.3230994152047,1
6,22,278.2396116504854,597.0745631067961,1
7,23,276.1793842034806,167.51338688085676,1
8,24,283.1551596139569,240.31254639940607,1
9,25,291.68145161290323,639.6826612903226,1
10,27,294.436154231347,383.96244366549826,1
11,28,308.08192177394517,343.4370187865722,1
12,29,309.8263296126067,474.4090610636901,1
13,30,315.1414451261077,292.4021813224267,1
14,32,320.32340777502066,424.12737799834576,1
15,33,317.73583260680033,207.9285091543156,1
16,34,320.1994219653179,544.414161849711,1
17,36,323.87658402203857,161.95096418732783,1
18,37,336.05893476205483,607.8676331547431,1
19,39,352.2881398252185,119.99250936329588,1
20,40,335.73333333333335,256.6021052631579,1
21,41,358.3215976331361,389.55029585798815,1
22,42,357.1065505804312,469.5936981757877,1
23,43,364.8444546709618,515.4058904739991,1
24,44,377.5685432971472,217.44862408482706,1
25,45,374.32410917361636,346.2221379833207,1
26,46,363.1086803105152,173.9273112208892,1
27,47,375.46403385049365,303.2447108603667,1
28,48,372.88257417467617,567.0359381529461,1
29,50,375.4574757281553,676.3782524271845,1
30,51,377.5243553008596,434.1654727793696,1
31,52,381.1261744966443,622.5194630872484,1
32,53,405.37548076923076,267.2435096153846,1
33,55,416.8750969743988,132.0491336953711,1
34,56,408.78703115066753,482.31277813095994,1
35,57,426.0584140435835,184.43280871670703,1
36,58,416.8566418237615,537.4191144234985,1
37,59,421.25433217808586,708.3543055185283,1
38,60,411.64472497745714,404.52434625789,1
39,61,421.96944444444443,586.6888888888889,1
40,62,434.1241581259151,639.4579795021962,1
41,63,431.34826287149434,350.54123064043534,1
42,64,436.169339320077,309.08980115458627,1
43,66,453.37523674242425,454.96685606060606,1
44,67,441.6226930963773,234.36431989063567,1
45,69,450.8719397363465,401.1293157564344,1
46,70,464.91775777414074,517.4063011456628,1
47,71,473.144578313253,702.8339444735464,1
48,72,471.839255499154,577.8568527918782,1
49,74,477.42473703300686,166.2480957562568,1
50,75,464.60361990950224,271.3212669683258,1
51,76,476.41505466778807,369.58999158957107,1
52,77,480.3048245614035,313.3539473684211,1
53,78,489.4499370277078,227.77613350125944,1
54,79,488.7933801404213,643.3309929789368,1
55,80,498.15223386651957,427.01489244346385,1
56,82,522.2035236938032,490.28979343863915,1
57,83,510.9088766692852,543.9968578161822,1
58,84,528.8969889064977,274.3022413402762,1
59,85,519.5731707317074,355.91589571068124,1
60,88,523.0431256911169,595.8193881312201,1
61,89,536.571968595522,404.53329456237276,1
62,91,536.7431149097815,322.4411206077873,1
63,93,555.5857957490928,458.39398652151374,1
64,95,561.3462765957447,557.9436170212766,1
65,97,584.1084905660377,375.8508254716981,1
66,98,579.1235142118863,511.17002583979325,1
67,99,584.5480410447761,316.0615671641791,1
68,100,585.1957040572793,434.6736276849642,1
69,102,211.8758793969849,536.7668341708543,1
0,13,244.0316411682893,351.36717663421416,2
1,15,248.8526357827476,448.9688498402556,2
2,16,258.9011627906977,503.1012969588551,2
3,18,259.7377260981912,299.7748708010336,2
4,20,266.7817785051828,552.9258046917621,2
5,21,268.0987951807229,412.90698795180725,2
6,22,279.9569359756098,596.735899390244,2
7,23,277.4947220267417,166.38740323715695,2
8,24,283.275900482733,237.71778685480876,2
9,25,293.11787974683546,639.337420886076,2
10,27,295.19263607257204,383.8895410885806,2
11,28,309.5392523364486,343.3158878504673,2
12,29,310.505164622337,474.3392511297611,2
13,30,314.87760683760683,291.7897435897436,2
14,32,320.84294736842105,424.3557894736842,2
15,33,318.57200357781755,207.88774597495527,2
16,34,320.87867647058823,544.585407239819,2
17,36,324.2281498297389,162.63961407491487,2
18,37,338.3938323160938,607.1715387086412,2
19,39,352.8036201338954,120.59161914207786,2
20,40,335.38117182356814,255.2422646477946,2
21,41,357.13289036544853,387.6922379945636,2
22,42,358.8811881188119,469.12458745874585,2
23,43,365.8452166064982,514.5749097472924,2
24,44,378.4443349753695,217.43743842364532,2
25,45,375.62609357170027,346.07341194370485,2
26,46,364.1630434782609,173.57608695652175,2
27,47,375.2920757363254,303.0385694249649,2
28,48,374.2629801604052,566.5715491768678,2
29,50,377.3241185897436,676.4214743589744,2
30,51,378.22699004975124,432.0254975124378,2
31,52,382.1611438946891,622.9877439854744,2
32,53,406.5520581113801,267.48886198547217,2
33,55,417.1623173277662,131.24217118997913,2
34,56,410.8155818540434,482.3763971071663,2
35,57,426.1333129022372,184.2442537542139,2
36,58,418.22762814943525,536.8310165073849,2
37,59,422.05191935929304,705.8492129246065,2
38,60,412.68894830659536,404.06773618538324,2
39,61,422.6844262295082,586.8377732240438,2
40,62,435.5319085782131,639.3187889581478,2
41,63,431.6077738515901,349.36881625441697,2
42,64,437.4188861985472,308.3299031476998,2
43,66,453.83725859632597,454.68699952896844,2
44,67,441.96888567293774,233.35600578871203,2
45,69,451.84207240948814,400.8333333333333,2
46,70,466.2494741270509,517.6735380732015,2
47,71,474.85905511811023,702.7900262467192,2
48,72,473.4387417218543,577.2771523178808,2
49,74,477.10185185185185,166.28774928774928,2
50,75,464.6641221374046,269.44465648854964,2
51,76,476.77272727272725,369.65164923572,2
52,77,480.65301629238223,312.9925143108763,2
53,78,489.71132376395536,227.6127591706539,2
54,79,490.3602869253342,642.8196935115749,2
55,80,499.40206777713956,427.26651349798965,2
56,82,522.7823170731707,489.57560975609755,2
57,83,511.90325138778746,542.5329103885805,2
58,84,529.5913472315624,273.83748038556377,2
59,85,521.3283145127562,355.5826014219992,2
60,88,524.7457943925234,595.2056074766355,2
61,89,537.675939202753,403.9317464869515,2
62,91,536.5986811116345,321.9185115402732,2
63,93,556.4646516393443,457.98155737704917,2
64,95,562.1899736147757,557.3794195250659,2
65,97,585.6687995124923,376.2669104204753,2
66,98,579.9580562659846,510.61534526854217,2
67,99,585.0255009107468,316.11429872495444,2
68,100,586.37351543943,434.5801662707838,2
0,13,244.80352819093739,351.49913524731926,3
1,15,250.25116476069462,449.8216857263871,3
2,16,260.7275138121547,503.28618784530386,3
3,18,259.61960784313726,299.8637254901961,3
4,20,267.92287649817615,552.539343408025,3
5,21,270.6335433834222,413.7954435288415,3
6,22,281.92032460346735,596.1113980081151,3
7,23,278.1839199447895,167.3040027605245,3
8,24,284.0704119850187,239.3928838951311,3
9,25,294.00750691426316,639.2975108652706,3
10,27,295.32855567805956,383.0766262403528,3
11,28,309.58648048238655,342.7556331323389,3
12,29,311.13886210221796,474.1452909032465,3
13,30,315.5760353021046,292.20536320434485,3
14,32,322.3606418918919,423.7322635135135,3
15,33,320.05511463844795,207.91137566137567,3
16,34,323.79734904270987,544.1148748159058,3
17,36,324.31805477920625,162.32308552263834,3
18,37,339.5394393741851,606.7405475880053,3
19,39,353.54911154985194,120.0535538005923,3
20,40,336.0339525944907,254.71364509929532,3
21,41,357.8972296693476,387.69228477807565,3
22,42,360.55520254169977,468.50436854646546,3
23,43,367.6205641492266,514.2142857142857,3
24,44,379.88948306595364,216.9047619047619,3
25,45,376.3382857142857,346.6327619047619,3
26,46,364.6343549536707,173.6279401282965,3
27,47,375.979298245614,303.4870175438596,3
28,48,375.3947151114781,566.7151114781173,3
29,50,379.4003294892916,676.5576606260297,3
30,51,379.9918546365915,431.53258145363407,3
31,52,383.4198156682028,623.568202764977,3
32,53,406.9434730538922,266.9185628742515,3
33,55,417.06228912535687,131.02699195432132,3
34,56,412.1735175202156,482.8561320754717,3
35,57,427.2304552590267,184.49042386185243,3
36,58,419.729802513465,537.322262118492,3
37,59,424.3639178159302,706.0323670137911,3
38,60,414.1787658802178,403.3693284936479,3
39,61,423.5262979300984,587.2565320665083,3
40,62,436.83621203097084,639.7489577129244,3
41,63,432.2595387840671,350.074213836478,3
42,64,438.7441037735849,306.9080188679245,3
43,66,453.82633725113936,453.80498920604464,3
44,67,442.69736842105266,232.9196675900277,3
45,69,453.6644736842105,401.6440789473684,3
46,70,465.6456588805641,517.0863816659321,3
47,71,476.3702784670527,701.9407223600772,3
48,72,473.871031096563,577.1129296235679,3
49,74,477.49947643979056,166.01989528795812,3
50,75,466.538005923001,268.3761105626851,3
51,76,478.34291338582676,369.3562992125984,3
52,77,481.0403821102909,312.2275293095962,3
53,78,491.02642740619905,226.9226753670473,3
54,79,491.3583640630238,643.4629567549447,3
55,80,501.41973908111174,427.4061259217243,3
56,82,522.3568290734825,488.8919728434505,3
57,83,511.7642244738893,541.4333593141075,3
58,84,530.0057182067703,274.05489478499544,3
59,85,522.83131017162,355.37505232314777,3
60,88,524.5875584322187,595.2121539014743,3
61,89,538.9860667634252,403.88911465892596,3
62,91,537.7739952718676,321.39574468085107,3
63,93,557.8876867594024,457.6439979392066,3
64,95,563.5966257668712,556.6226993865031,3
65,97,586.6984698469847,375.84158415841586,3
66,98,580.7356435643565,510.27376237623764,3
67,100,587.7371910789632,434.2471368294153,3
68,103,215.3579105223694,390.31317170707325,3
69,104,214.03497332542975,535.2228808535863,3
70,123,332.77813608513384,674.2121896162528,3
71,597,195.8617539585871,499.38976857490866,3
0,13,245.12442067736185,350.8923351158645,4
1,15,251.12558936991,450.20274324903556,4
2,16,261.72654038754627,503.0455040278685,4
3,18,259.6148270181219,299.13146622734763,4
4,20,269.0528205128205,552.4266666666666,4
5,21,271.54498106060606,413.9422348484849,4
6,22,283.7694253704373,595.310444524756,4
7,23,279.479447200567,166.29270021261516,4
8,24,285.62022553655873,238.18152055292833,4
9,25,294.7854950115119,638.7509593246355,4
10,27,294.507174392936,383.3504415011038,4
11,28,309.77533577533575,342.2371794871795,4
12,29,311.5364412344058,473.80630334865396,4
13,30,315.857779300891,291.4732693625771,4
14,32,324.36383161512026,423.5283505154639,4
15,33,320.5273788150808,207.42773788150808,4
16,34,325.422934648582,542.9636251541307,4
17,36,325.400461627236,161.9607616849394,4
18,37,341.0465798045603,606.1840390879479,4
19,39,354.7498169392238,119.306321698804,4
20,40,337.495867768595,254.76859504132233,4
21,41,357.3130303030303,387.1157575757576,4
22,42,361.50439098892707,468.45933562428405,4
23,43,367.70893776321947,513.9461862423959,4
24,44,380.18593350383634,216.57902813299233,4
25,45,376.8062403697997,346.7080123266564,4
26,46,364.6031518624642,173.310888252149,4
27,47,375.7402870143507,302.76093804690237,4
28,48,375.77646097261953,566.3522680833673,4
29,50,379.9270225187656,677.175562969141,4
30,51,380.39506995336444,430.60759493670884,4
31,52,386.45518207282913,622.9780578898226,4
32,53,407.2625856771449,266.3450720869771,4
33,55,417.33476050307735,130.62536794219963,4
34,56,412.66948293342347,482.38256167624195,4
35,57,427.33222490931075,183.7696493349456,4
36,58,420.0103510351035,536.7245724572457,4
37,59,425.75749711649365,705.9120530565167,4
38,60,413.91849935316947,403.5153083225528,4
39,61,424.8631436314363,586.3993902439024,4
40,62,437.1386730424387,640.3571428571429,4
41,63,433.14749498998,349.38196392785574,4
42,64,439.31299885974914,306.5307867730901,4
43,66,455.2341668614162,454.2617433979902,4
44,67,443.8305084745763,233.2250847457627,4
45,69,454.2580025608195,401.57490396927017,4
46,70,466.8285588364918,517.004847950639,4
47,72,474.46313738226695,577.1412796362455,4
48,74,478.7874209416725,165.85207308503163,4
49,75,469.0805168986083,268.74652087475147,4
50,76,479.6156274664562,369.55090765588005,4
51,77,481.4234275296263,311.75888787602554,4
52,78,491.563044179297,226.63656884875846,4
53,79,492.0337883959044,642.8,4
54,80,502.3897497020262,427.70023837902266,4
55,82,524.2218367346939,488.28122448979593,4
56,83,513.670932358318,541.6047531992688,4
57,84,530.7009323452068,274.454697585465,4
58,85,524.0,355.1947261663286,4
59,88,525.106278366112,595.3517397881997,4
60,89,540.1606529209622,403.6343069873998,4
61,91,538.1339202965709,320.9504170528267,4
62,93,559.1310824230387,457.27755710029794,4
63,95,564.4677983025462,555.9196205691463,4
64,97,588.2669093114953,375.619957537155,4
65,98,582.1776142932213,509.83604834471885,4
66,100,589.3305882352942,433.8523529411765,4
67,104,215.19464720194648,533.4841849148419,4
68,597,196.00187149095447,498.74610106051153,4
0,13,247.24693650204233,350.7330115113257,5
1,15,253.05574468085106,450.6740425531915,5
2,16,261.23029366306025,502.1143740340031,5
3,18,260.0897177419355,299.09442204301075,5
4,20,271.62698412698415,551.234623015873,5
5,21,273.9506564056134,414.58080579447716,5
6,23,280.7869947275923,164.57047451669595,5
7,24,285.34409391049155,235.96625091709464,5
8,27,295.72078990674714,382.98573779484366,5
