,position (um),Lar intensity,Abi intensity
0,0.0,27.9372,7.096
1,0.0689,16.1333,5.9294
2,0.1378,11.6228,3.5626
3,0.2067,9.4168,4.4073
4,0.2756,8.1082,3.2712
5,0.3445,10.9616,3.8543
6,0.4134,14.4056,5.0908
7,0.4823,12.9592,3.8926
8,0.5512,14.5128,3.4709
9,0.6201,14.8001,3.8905
10,0.6889,15.3213,3.9421
11,0.7578,17.19,3.3479
12,0.8267,16.5717,3.7048
13,0.8956,15.3542,4.1381
14,0.9645,16.1951,4.2614
15,1.0334,14.7202,4.4927
16,1.1023,9.4469,3.3984
17,1.1712,7.7098,3.9973
18,1.2401,6.9388,4.1364
19,1.309,5.3348,2.7784
20,1.3779,4.6065,3.6457
21,1.4468,7.1817,3.758
22,1.5157,7.3122,3.7775
23,1.5846,5.2158,3.3122
24,1.6535,4.4035,3.1183
25,1.7224,2.9155,2.7188
26,1.7913,1.3001,2.0165
27,1.8602,1.68,2.041
28,1.929,1.231,2.106
29,1.9979,1.4812,2.1098
30,2.0668,2.9452,2.4114
31,2.1357,4.3699,2.4323
32,2.2046,7.259,2.1644
33,2.2735,13.4595,2.6291
34,2.3424,17.9988,4.1857
35,2.4113,17.6607,5.0106
36,2.4802,18.4557,5.6367
37,2.5491,21.1252,4.6366
38,2.618,25.2571,3.4946
39,2.6869,25.4852,4.5729
40,2.7558,22.1462,4.8911
41,2.8247,20.3539,4.9799
42,2.8936,16.5613,5.4867
43,2.9625,17.1606,4.2166
44,3.0314,13.6757,3.966
45,3.1003,9.9531,3.7658
46,3.1691,8.6944,3.1124
47,3.238,8.9056,3.3878
48,3.3069,8.8669,2.8295
49,3.3758,11.8668,1.6133
50,3.4447,15.5889,3.2388
51,3.5136,20.8658,3.9091
52,3.5825,24.728,4.1747
53,3.6514,29.073,4.3399
54,3.7203,28.5113,4.7881
55,3.7892,23.4563,6.3468
56,3.8581,20.3535,4.9502
57,3.927,16.9316,4.5706
58,3.9959,14.5234,3.5328
59,4.0648,13.7528,2.683
60,4.1337,19.1286,3.7076
61,4.2026,23.7686,4.0831
62,4.2715,24.3596,3.9385
63,4.3404,22.4328,3.5937
64,4.4092,15.5722,3.8602
65,4.4781,14.1476,4.1767
66,4.547,12.7555,4.0851
67,4.6159,17.008,3.4334
68,4.6848,24.744,5.3267
69,4.7537,31.3211,7.1054
70,4.8226,34.3161,7.9806
71,4.8915,39.3439,9.1105
72,4.9604,47.6176,9.0203
73,5.0293,62.1446,9.4387
74,5.0982,76.9776,12.0923
75,5.1671,78.5878,12.1226
76,5.236,69.8305,12.222
77,5.3049,50.5509,10.5149
78,5.3738,31.568,7.6293
79,5.4427,17.2982,6.0802
80,5.5116,12.2044,4.5819
81,5.5805,13.9661,3.7396
82,5.6493,13.1173,2.9812
83,5.7182,12.5819,3.9225
84,5.7871,16.2854,3.943
85,5.856,19.8525,4.2062
86,5.9249,21.5015,4.4167
87,5.9938,24.6861,4.272
88,6.0627,25.1149,4.928
89,6.1316,24.1402,5.385
90,6.2005,22.4598,4.7045
91,6.2694,16.8565,4.5502
92,6.3383,11.3184,4.3778
93,6.4072,12.3029,3.6135
94,6.4761,14.4493,3.6399
95,6.545,14.2612,4.8779
96,6.6139,25.0915,5.6227
97,6.6828,28.2026,6.7238
98,6.7517,23.3343,6.7581
99,6.8206,18.5397,5.526
100,6.8894,16.2595,5.5137
101,6.9583,14.2976,5.2498
102,7.0272,18.2052,5.5726
103,7.0961,16.7336,5.5694
104,7.165,14.262,5.4218
105,7.2339,12.7304,4.4777
106,7.3028,13.1517,4.4753
107,7.3717,11.6412,4.7931
108,7.4406,11.3518,4.5457
109,7.5095,8.4323,4.6704
110,7.5784,7.0635,4.8152
111,7.6473,6.8362,5.5928
112,7.7162,7.9474,5.5371
113,7.7851,8.9355,5.13
114,7.854,8.4136,5.5719
115,7.9229,8.627,5.7878
116,7.9918,8.6977,4.0206
117,8.0607,7.9439,4.3139
118,8.1296,5.3625,3.6543
119,8.1984,5.5071,3.2418
120,8.2673,4.9602,3.0174
121,8.3362,4.4721,3.5227
122,8.4051,5.2396,2.9386
123,8.474,5.0426,3.1959
124,8.5429,5.8159,3.7148
125,8.6118,5.7626,3.796
126,8.6807,5.94,4.0949
127,8.7496,7.5782,2.4292
128,8.8185,7.4654,3.1089
129,8.8874,8.6308,3.4694
130,8.9563,13.3858,4.0868
131,9.0252,15.8263,4.5361
132,9.0941,14.6676,5.1488
133,9.163,19.1119,6.0802
134,9.2319,25.4376,6.9035
135,9.3008,32.0646,8.7272
136,9.3697,33.0483,10.6633
137,9.4385,39.5081,11.0863
138,9.5074,45.4878,11.3898
139,9.5763,48.4721,13.3396
140,9.6452,51.9025,11.7258
141,9.7141,49.616,10.2063
142,9.783,40.298,10.6752
143,9.8519,32.4635,9.2498
144,9.9208,23.6323,8.5994
145,9.9897,18.9755,7.8367
146,10.0586,15.4976,7.0984
147,10.1275,11.8465,5.2974
148,10.1964,12.2401,4.0635
149,10.2653,11.1871,3.8272
150,10.3342,9.5101,3.1152
151,10.4031,8.3638,3.3711
152,10.472,9.5894,3.488
153,10.5409,9.4413,2.9006
154,10.6098,15.1005,3.4093
155,10.6786,15.6272,4.4162
156,10.7475,15.5905,4.9808
157,10.8164,14.2091,4.5851
158,10.8853,12.0388,4.6632
159,10.9542,16.2681,4.2479
160,11.0231,17.1667,5.3288
161,11.092,17.4163,4.7545
162,11.1609,17.4643,4.2264
163,11.2298,17.0801,4.0058
164,11.2987,18.1703,5.1131
165,11.3676,16.812,4.5454
166,11.4365,12.9933,5.5665
167,11.5054,11.1805,5.2405
168,11.5743,9.1758,4.348
169,11.6432,7.9858,4.4288
170,11.7121,8.2839,4.3127
171,11.781,12.8222,4.8709
172,11.8499,18.5089,6.8925
173,11.9187,21.2945,7.5293
174,11.9876,21.2553,7.3309
175,12.0565,16.6691,8.4781
176,12.1254,11.9538,7.1486
177,12.1943,7.8257,5.9085
178,12.2632,6.1356,4.5729
179,12.3321,8.2819,2.9303
180,12.401,7.5541,2.1751
181,12.4699,7.9605,2.8353
182,12.5388,17.1642,4.1699
183,12.6077,28.0455,4.4358
184,12.6766,29.9917,6.3923
185,12.7455,24.6847,5.0135
186,12.8144,14.4124,4.9025
187,12.8833,12.5964,4.3341
188,12.9522,12.2657,4.2247
189,13.0211,15.1718,4.4798
190,13.09,21.4808,5.5828
191,13.1588,35.8539,5.8651
192,13.2277,46.3666,7.8502
193,13.2966,50.2322,10.7294
194,13.3655,35.8651,10.9666
195,13.4344,28.9436,10.8006
196,13.5033,24.2996,9.0498
197,13.5722,28.1799,8.885
198,13.6411,30.4213,7.9211
199,13.71,29.7537,6.7874
200,13.7789,19.1982,6.3993
201,13.8478,13.4793,5.9939
202,13.9167,11.3218,4.5101
203,13.9856,9.1207,4.6648
204,14.0545,7.4252,4.7075
205,14.1234,6.833,4.2595
206,14.1923,8.6673,3.3677
207,14.2612,10.9077,3.489
208,14.3301,12.3856,3.8307
209,14.3989,16.7543,4.6582
210,14.4678,24.239,7.1671
211,14.5367,36.3048,8.8271
212,14.6056,42.6718,11.7801
213,14.6745,39.7737,13.9009
214,14.7434,38.0124,13.2852
215,14.8123,37.7338,12.914
216,14.8812,39.2002,13.0724
217,14.9501,32.704,11.4441
218,15.019,22.5363,10.5754
219,15.0879,16.585,7.5383
220,15.1568,16.4406,7.6452
221,15.2257,25.9773,7.146
222,15.2946,31.1446,7.7568
223,15.3635,29.377,7.3983
224,15.4324,28.9711,6.0532
225,15.5013,25.1759,6.2355
226,15.5702,25.4764,6.2669
227,15.6391,30.3797,8.0311
228,15.7079,41.2757,9.2937
229,15.7768,47.6555,10.4768
230,15.8457,48.1331,9.8507
231,15.9146,41.4151,7.8207
232,15.9835,30.9681,7.0797
233,16.0524,21.0552,5.4941
234,16.1213,19.5774,4.6353
235,16.1902,24.6583,5.0753
236,16.2591,24.912,6.0779
237,16.328,21.7438,5.2102
238,16.3969,18.7485,5.8035
239,16.4658,17.3183,5.4175
240,16.5347,18.4366,6.4112
241,16.6036,19.5556,5.83
242,16.6725,20.3632,8.6618
243,16.7414,29.9611,8.3992
244,16.8103,38.3506,9.6366
245,16.8792,43.1897,9.8899
246,16.948,43.0138,9.8362
247,17.0169,33.1948,9.8469
248,17.0858,23.2446,8.7665
249,17.1547,19.6758,7.5166
250,17.2236,16.0477,5.9051
251,17.2925,12.6644,5.5446
252,17.3614,15.297,5.1698
253,17.4303,19.644,4.6201
254,17.4992,23.4901,4.1375
255,17.5681,33.0198,4.1461
256,17.637,33.9288,5.5551
257,17.7059,36.3317,6.6634
258,17.7748,29.4731,7.0128
259,17.8437,23.2549,7.3243
260,17.9126,20.9468,6.286
261,17.9815,21.2792,6.4451
262,18.0504,18.7744,6.002
263,18.1193,22.3352,6.0363
264,18.1881,19.6092,6.1702
265,18.257,14.5259,4.9958
266,18.3259,12.6294,4.9572
267,18.3948,10.8767,4.9533
268,18.4637,9.9255,4.4612
269,18.5326,13.1824,5.1121
270,18.6015,21.1331,6.4256
271,18.6704,25.3985,5.4514
272,18.7393,25.741,5.2228
273,18.8082,21.5375,6.801
