,position (um),Lar intensity,Abi intensity
0,0.0,44.725,11.8514
1,0.0689,55.285,13.5252
2,0.1378,58.7202,15.7919
3,0.2067,58.8159,16.9093
4,0.2756,47.0234,14.8048
5,0.3445,32.4286,13.1801
6,0.4134,21.207,11.7791
7,0.4823,16.2312,10.5778
8,0.5512,12.527,8.6293
9,0.6201,10.6033,6.831
10,0.6889,9.4531,7.6461
11,0.7578,8.6355,7.7237
12,0.8267,10.1912,6.5823
13,0.8956,9.1788,5.4282
14,0.9645,8.3045,4.7299
15,1.0334,8.8228,5.21
16,1.1023,7.099,6.3244
17,1.1712,6.8787,5.5128
18,1.2401,5.9091,5.2581
19,1.309,5.8436,5.6743
20,1.3779,6.1843,4.2108
21,1.4468,9.2719,4.2583
22,1.5157,11.5866,4.1212
23,1.5846,12.7466,4.0774
24,1.6535,13.2166,4.8191
25,1.7224,15.3176,5.9988
26,1.7913,18.5261,7.4136
27,1.8602,17.4162,7.768
28,1.929,15.4609,7.1754
29,1.9979,14.6037,5.7689
30,2.0668,13.7139,4.8927
31,2.1357,14.3824,4.8683
32,2.2046,16.7658,5.0352
33,2.2735,20.295,6.5531
34,2.3424,20.75,8.0141
35,2.4113,14.2301,6.8384
36,2.4802,11.5535,7.8233
37,2.5491,11.3798,6.4589
38,2.618,10.7358,5.2724
39,2.6869,9.7933,4.7187
40,2.7558,8.0894,6.6469
41,2.8247,5.0208,5.5544
42,2.8936,5.4629,5.0606
43,2.9625,6.3836,3.8786
44,3.0314,6.7164,3.5101
45,3.1003,8.8675,2.9468
46,3.1691,10.2419,4.5819
47,3.238,10.8168,4.9513
48,3.3069,11.2528,4.9799
49,3.3758,12.2957,5.3975
50,3.4447,6.3602,4.9804
51,3.5136,4.8899,4.6689
52,3.5825,5.9119,5.3906
53,3.6514,4.9691,5.0056
54,3.7203,5.8691,4.5588
55,3.7892,6.3205,5.2733
56,3.8581,8.686,4.105
57,3.927,11.6509,4.2484
58,3.9959,13.3278,5.5259
59,4.0648,14.903,6.3194
60,4.1337,15.1126,6.7058
61,4.2026,15.0342,6.8963
62,4.2715,22.007,6.458
63,4.3404,21.0177,7.5403
64,4.4092,20.6571,6.502
65,4.4781,22.9888,6.1528
66,4.547,16.1704,6.4624
67,4.6159,10.0765,5.8465
68,4.6848,8.7228,3.5548
69,4.7537,6.0639,2.611
70,4.8226,4.798,2.3333
71,4.8915,4.8103,2.0318
