,position (um),Lar intensity,Abi intensity
0,0.0,80.0149,16.6954
1,0.0689,82.1059,14.4496
2,0.1378,67.8764,13.6347
3,0.2067,59.7865,13.0565
4,0.2756,47.3007,11.1271
5,0.3445,41.5465,10.3586
6,0.4134,37.0489,8.9868
7,0.4823,30.9608,7.443
8,0.5512,27.985,7.6316
9,0.6201,29.432,8.7256
10,0.6889,30.8127,8.2293
11,0.7578,34.3289,10.3959
12,0.8267,39.8212,9.8697
13,0.8956,38.6488,9.2477
14,0.9645,35.3839,7.1571
15,1.0334,29.0774,5.8121
16,1.1023,26.6878,5.4175
17,1.1712,27.1624,5.2999
18,1.2401,24.2608,5.4061
19,1.309,21.7905,5.6779
20,1.3779,16.284,4.382
21,1.4468,15.692,3.0886
22,1.5157,13.3056,3.3973
23,1.5846,11.2371,3.0556
24,1.6535,9.8201,3.2501
25,1.7224,10.017,4.03
26,1.7913,12.4002,3.0354
27,1.8602,9.7427,4.2536
28,1.929,6.9853,3.7997
29,1.9979,6.2778,2.4997
30,2.0668,5.415,2.6849
31,2.1357,7.0928,3.062
32,2.2046,11.1451,3.569
33,2.2735,11.2571,3.5168
34,2.3424,9.4663,3.6784
35,2.4113,9.6572,2.8226
36,2.4802,9.0858,2.6585
37,2.5491,10.3097,3.6041
38,2.618,7.9802,3.3105
39,2.6869,8.5896,3.1907
40,2.7558,9.1611,3.714
41,2.8247,11.7261,5.2068
42,2.8936,18.928,5.4529
43,2.9625,26.4799,4.8078
44,3.0314,37.0438,6.7717
45,3.1003,55.4031,8.3551
46,3.1691,60.3898,8.4741
47,3.238,56.4372,6.543
48,3.3069,43.3026,6.218
49,3.3758,27.826,5.6172
50,3.4447,21.6221,5.9335
51,3.5136,15.7555,5.2344
52,3.5825,12.0018,4.1876
53,3.6514,27.2817,3.7532
54,3.7203,30.0746,4.0631
55,3.7892,29.8485,4.8696
56,3.8581,29.819,4.5456
57,3.927,30.0435,4.4924
58,3.9959,30.5466,5.7715
59,4.0648,26.4465,5.9654
60,4.1337,24.8821,5.917
61,4.2026,25.3598,6.4621
62,4.2715,29.4583,6.2933
63,4.3404,36.713,7.0833
64,4.4092,42.6238,7.3705
65,4.4781,42.9668,7.399
66,4.547,40.1798,6.2769
67,4.6159,35.3411,4.4456
68,4.6848,30.5378,5.2726
69,4.7537,23.6935,4.9339
70,4.8226,21.391,4.7144
71,4.8915,17.3994,4.6115
72,4.9604,12.4462,4.5968
73,5.0293,11.011,5.2548
74,5.0982,10.6039,4.8431
75,5.1671,11.8508,5.6705
76,5.236,12.8688,4.3775
77,5.3049,13.362,4.4151
78,5.3738,18.1048,5.8364
79,5.4427,20.383,6.8771
80,5.5116,20.7985,7.4972
81,5.5805,20.868,5.6738
82,5.6493,17.9706,5.8631
83,5.7182,11.1524,4.9346
84,5.7871,8.3181,4.9826
85,5.856,7.9773,4.3673
86,5.9249,10.4548,3.2385
87,5.9938,11.1606,3.3938
88,6.0627,9.7034,3.0532
89,6.1316,9.3395,2.6289
90,6.2005,8.5177,3.0803
91,6.2694,8.5817,3.6636
92,6.3383,11.6242,4.1819
93,6.4072,17.6085,4.5483
94,6.4761,23.0016,6.0291
95,6.545,27.4463,7.7049
96,6.6139,32.4214,8.844
97,6.6828,35.9552,10.481
98,6.7517,43.3015,11.2081
99,6.8206,57.084,11.4179
100,6.8894,73.6118,12.7237
101,6.9583,79.0192,12.4073
102,7.0272,60.565,10.2293
103,7.0961,33.7358,8.0766
104,7.165,19.3622,5.8394
105,7.2339,16.4634,3.9384
106,7.3028,14.4048,3.3187
107,7.3717,12.4794,2.8862
108,7.4406,11.0545,2.6036
109,7.5095,10.1605,2.5165
110,7.5784,8.8595,3.6578
111,7.6473,7.269,3.5547
112,7.7162,7.9634,2.9877
113,7.7851,9.4318,4.5303
114,7.854,8.0896,4.8104
115,7.9229,9.5367,5.0296
116,7.9918,13.3531,4.4434
117,8.0607,16.8591,4.068
118,8.1296,19.2561,3.6535
119,8.1984,23.5385,4.4261
120,8.2673,23.7203,4.4429
121,8.3362,31.1742,3.4733
122,8.4051,37.9907,4.4576
123,8.474,35.7839,4.6071
124,8.5429,24.2075,3.1687
125,8.6118,14.8155,3.5245
126,8.6807,11.3663,2.9892
127,8.7496,7.6787,4.2278
128,8.8185,5.5064,5.1859
129,8.8874,6.3172,4.0405
130,8.9563,10.0102,3.8282
131,9.0252,11.1308,3.9276
132,9.0941,20.3484,3.8973
133,9.163,33.8619,5.0997
134,9.2319,46.2738,5.2428
135,9.3008,45.2532,5.165
136,9.3697,45.1465,6.5803
137,9.4385,55.5748,7.5949
138,9.5074,72.8397,10.4995
139,9.5763,74.0191,10.9333
140,9.6452,58.4967,10.5078
141,9.7141,41.4764,9.4668
142,9.783,21.8984,7.4939
143,9.8519,16.8745,6.3715
144,9.9208,13.8114,5.8088
145,9.9897,10.8399,5.2608
146,10.0586,9.8152,4.4935
147,10.1275,9.5837,4.1906
148,10.1964,10.6021,3.3052
149,10.2653,14.1692,3.8093
150,10.3342,17.8208,4.587
151,10.4031,20.266,4.1798
152,10.472,19.7523,4.0868
153,10.5409,22.1116,5.5894
154,10.6098,30.4503,6.3142
155,10.6786,38.5644,8.9314
156,10.7475,49.4427,8.8452
157,10.8164,52.3496,10.9807
158,10.8853,43.5429,11.0875
159,10.9542,34.6872,9.0765
160,11.0231,25.2516,8.446
161,11.092,18.6734,8.279
162,11.1609,14.5112,5.8218
163,11.2298,14.4883,5.1253
164,11.2987,12.2195,4.5124
165,11.3676,12.7532,5.5839
166,11.4365,12.3788,6.253
167,11.5054,10.8595,8.1147
168,11.5743,10.9809,7.3707
169,11.6432,11.985,6.516
170,11.7121,12.9858,5.2698
171,11.781,16.1456,5.9803
172,11.8499,20.9483,7.9099
173,11.9187,22.5061,7.9166
174,11.9876,22.0308,7.9288
175,12.0565,27.6144,7.0633
176,12.1254,30.7392,7.1959
177,12.1943,27.6985,6.6012
178,12.2632,24.4924,6.7114
179,12.3321,21.5111,5.7937
180,12.401,26.5136,5.925
181,12.4699,36.67,6.6947
182,12.5388,46.5084,7.7253
183,12.6077,39.8263,7.8435
184,12.6766,24.8902,5.9672
185,12.7455,13.5707,4.8452
186,12.8144,9.0878,5.3011
187,12.8833,6.8031,4.0543
188,12.9522,7.4271,4.3908
189,13.0211,3.935,3.1927
190,13.09,5.5505,2.5879
191,13.1588,7.3946,2.4954
192,13.2277,7.9657,3.4535
193,13.2966,7.4982,3.1765
194,13.3655,8.1013,3.6002
195,13.4344,8.1955,3.3848
196,13.5033,6.6899,2.1137
197,13.5722,7.0222,2.8502
198,13.6411,7.581,2.88
199,13.71,5.2554,3.3735
200,13.7789,4.1055,3.7608
201,13.8478,4.9121,3.6892
202,13.9167,5.1876,3.3759
203,13.9856,6.4565,2.6306
204,14.0545,7.1906,2.8304
205,14.1234,7.1198,3.535
206,14.1923,9.9849,4.1401
207,14.2612,11.1045,4.8282
208,14.3301,13.1446,4.8747
209,14.3989,15.6461,5.4497
210,14.4678,18.6122,5.8492
211,14.5367,19.5235,5.6089
212,14.6056,20.041,6.0767
213,14.6745,18.4562,7.1018
214,14.7434,21.5924,8.2668
215,14.8123,25.6856,7.9149
216,14.8812,31.9814,8.7965
217,14.9501,41.3861,10.8864
218,15.019,56.2417,11.2294
