,position (um),Lar intensity,Abi intensity
0,0.0,16.4946,4.5322
1,0.0689,20.0727,5.2207
2,0.1378,17.9959,4.7094
3,0.2067,19.7753,4.6078
4,0.2756,18.972,3.7769
5,0.3445,15.8897,3.9312
6,0.4134,11.9793,4.5552
7,0.4823,13.7886,4.647
8,0.5512,15.9276,5.8393
9,0.6201,20.1102,6.491
10,0.6889,19.203,5.4227
11,0.7578,20.7479,5.5914
12,0.8267,14.4337,5.3916
13,0.8956,14.2763,4.6008
14,0.9645,12.1823,3.2866
15,1.0334,13.7767,2.4968
16,1.1023,19.3065,3.2835
17,1.1712,24.9889,3.9562
18,1.2401,26.8272,4.6151
19,1.309,28.8508,5.0701
20,1.3779,30.4519,4.6901
21,1.4468,25.475,5.3948
22,1.5157,22.8479,5.1787
23,1.5846,20.0439,3.6926
24,1.6535,17.7337,3.3668
25,1.7224,12.4987,3.6444
26,1.7913,7.9755,2.9391
27,1.8602,5.6667,2.4481
28,1.929,5.3987,2.8082
29,1.9979,5.5441,2.43
30,2.0668,8.9392,3.142
31,2.1357,13.2018,3.6991
32,2.2046,19.483,3.9769
33,2.2735,27.1432,4.6873
34,2.3424,30.9114,5.3305
35,2.4113,24.4077,5.2839
36,2.4802,18.438,5.5344
37,2.5491,18.8493,4.8333
38,2.618,24.6701,5.0003
39,2.6869,23.2489,3.976
40,2.7558,20.9825,3.9267
41,2.8247,21.9226,3.2738
42,2.8936,16.5241,3.016
43,2.9625,15.683,2.9247
44,3.0314,15.3236,2.1859
45,3.1003,14.2227,3.2692
46,3.1691,13.1688,3.0736
47,3.238,16.8545,3.717
48,3.3069,22.9684,4.5498
49,3.3758,21.8503,4.8281
50,3.4447,17.7261,4.4511
51,3.5136,17.9167,4.1253
52,3.5825,14.8473,3.5485
53,3.6514,11.0015,2.9979
54,3.7203,8.4847,2.6848
55,3.7892,13.1752,3.0287
56,3.8581,20.5641,4.5524
57,3.927,30.7921,4.8975
58,3.9959,33.3471,4.7691
59,4.0648,36.2018,5.3929
60,4.1337,31.0274,6.1971
61,4.2026,22.0864,6.1045
62,4.2715,11.5497,4.2569
63,4.3404,6.4748,2.8916
64,4.4092,3.0754,2.1216
65,4.4781,4.761,2.1158
66,4.547,6.5039,2.0362
67,4.6159,8.9188,2.6615
68,4.6848,13.7977,3.1193
69,4.7537,16.6076,2.4718
70,4.8226,12.2967,2.792
71,4.8915,9.1046,3.0529
72,4.9604,5.2739,2.4903
73,5.0293,6.4446,3.1831
74,5.0982,10.9207,3.0738
75,5.1671,14.5921,2.7095
76,5.236,13.2268,2.7949
77,5.3049,11.7476,3.1854
78,5.3738,7.5964,3.3161
79,5.4427,7.1651,3.0164
80,5.5116,10.9118,3.2842
81,5.5805,13.0942,3.4268
82,5.6493,13.1417,3.8489
83,5.7182,15.1591,3.5623
84,5.7871,12.8562,2.888
85,5.856,7.9014,3.0883
86,5.9249,4.9296,3.384
87,5.9938,4.6539,2.8856
88,6.0627,4.4915,2.1926
89,6.1316,4.4484,3.3039
90,6.2005,5.2918,3.2751
91,6.2694,6.4771,3.0959
92,6.3383,6.8677,2.8009
93,6.4072,8.2207,4.0267
94,6.4761,9.4874,4.7622
95,6.545,11.1011,3.4937
96,6.6139,13.7129,4.922
97,6.6828,13.854,5.2628
98,6.7517,11.6311,4.7931
99,6.8206,16.1757,3.9759
100,6.8894,20.3339,4.6663
101,6.9583,19.5978,5.7335
102,7.0272,18.9195,5.8855
103,7.0961,23.8311,6.0886
104,7.165,25.7961,6.5709
105,7.2339,23.2056,6.3597
106,7.3028,26.7564,5.085
107,7.3717,33.7784,5.5351
108,7.4406,35.8823,6.8373
109,7.5095,43.9051,8.2348
110,7.5784,57.8696,8.8952
111,7.6473,59.9584,8.4977
112,7.7162,38.4984,5.8626
113,7.7851,31.7659,4.8042
114,7.854,29.373,4.7476
115,7.9229,24.027,3.6047
116,7.9918,19.3483,3.5891
117,8.0607,18.7107,3.9263
118,8.1296,16.5043,4.0624
119,8.1984,15.4474,3.5849
120,8.2673,20.7098,4.3213
121,8.3362,24.1785,4.3939
122,8.4051,23.8171,4.1287
123,8.474,25.1158,5.3532
124,8.5429,17.987,5.1612
125,8.6118,10.995,3.7795
126,8.6807,9.0812,3.778
127,8.7496,9.7289,3.5199
128,8.8185,12.5822,3.6797
129,8.8874,13.2648,4.1442
130,8.9563,14.7362,4.7623
131,9.0252,20.35,5.4725
132,9.0941,21.6602,7.146
133,9.163,20.3217,7.0376
134,9.2319,17.9969,6.3283
135,9.3008,13.7477,4.96
136,9.3697,8.9113,3.775
137,9.4385,5.2634,3.0651
138,9.5074,3.6682,2.4621
139,9.5763,4.1814,2.5726
140,9.6452,4.3487,2.5522
141,9.7141,4.1812,2.6383
142,9.783,4.6091,2.2513
143,9.8519,7.5225,2.1621
144,9.9208,9.2562,2.2317
145,9.9897,11.1489,3.3173
146,10.0586,12.1797,4.2019
147,10.1275,16.4365,4.9086
148,10.1964,17.933,5.3311
149,10.2653,13.6583,5.4826
150,10.3342,11.6566,5.4594
151,10.4031,10.5793,3.477
152,10.472,10.3443,3.7401
153,10.5409,11.7312,4.9859
154,10.6098,14.1524,5.1196
155,10.6786,15.1987,5.6783
156,10.7475,16.0327,4.8043
157,10.8164,13.262,4.8412
